Time (s),A0C0,A0C1,A0C2,A1C0,A1C1,A1C2,A1C3,A2C0,A2C1,A2C2,A2C3
0.069125,0.749091,0.250909,0.272727,3.240000,0.318182,0.909091,3.887273,0.136364,0.148182,35.102730,3.613636
0.115046,0.478182,0.250909,0.272727,3.035455,0.250909,0.590909,1.954545,0.136364,0.136364,33.739090,0.954545
0.181365,0.272727,0.250909,0.296364,2.454545,0.272727,0.296364,1.363636,0.136364,0.272727,23.738182,0.648182
0.214534,0.272727,0.250909,0.250909,1.704545,0.250909,0.272727,1.569091,0.136364,0.204545,25.830002,0.443636
0.280947,0.296364,0.250909,0.272727,1.330909,0.250909,0.318182,1.500000,0.136364,0.580000,24.613636,0.693636
0.338065,0.296364,0.227273,0.272727,1.535455,0.272727,0.272727,1.363636,0.136364,0.545455,26.330002,1.181818
0.415063,0.318182,0.250909,0.272727,1.603637,0.272727,0.296364,1.569091,0.125455,1.443636,30.022728,2.466364
0.481565,0.296364,0.250909,0.272727,1.535455,0.272727,0.296364,1.523636,0.136364,1.613636,30.602726,2.363636
0.514902,0.296364,0.250909,0.250909,1.467273,0.250909,0.296364,0.978182,0.125455,0.636364,26.580000,0.625455
0.582563,0.296364,0.227273,0.296364,1.467273,0.250909,0.296364,0.272727,0.136364,0.159091,15.670909,0.363636
0.639727,0.296364,0.250909,0.272727,1.431818,0.272727,0.272727,0.296364,0.136364,0.136364,3.772727,0.159091
0.715286,0.296364,0.227273,0.272727,1.363636,0.250909,0.296364,0.272727,0.125455,0.148182,1.784545,0.159091
0.781919,0.272727,0.250909,0.272727,1.330909,0.250909,0.296364,0.272727,0.148182,0.136364,1.830000,0.159091
0.815419,0.296364,0.250909,0.296364,1.227273,0.272727,0.296364,0.272727,0.136364,0.136364,1.807273,0.148182
0.865760,0.296364,0.250909,0.272727,1.330909,0.272727,0.296364,0.272727,0.136364,0.136364,1.670000,0.148182
0.924908,0.296364,0.272727,0.272727,1.227273,0.250909,0.272727,0.272727,0.136364,0.136364,1.931818,0.159091
0.998983,0.296364,0.250909,0.296364,1.262727,0.250909,0.272727,0.296364,0.148182,0.136364,1.431818,0.159091
1.049247,0.318182,0.250909,0.272727,1.295454,0.272727,0.296364,0.272727,0.148182,0.136364,1.989091,0.148182
1.106927,0.296364,0.250909,0.272727,1.227273,0.250909,0.272727,0.250909,0.136364,0.136364,1.466364,0.148182
1.166059,0.272727,0.250909,0.272727,1.227273,0.272727,0.296364,0.272727,0.148182,0.136364,1.431818,0.136364
1.249390,0.272727,0.250909,0.250909,1.262727,0.272727,0.272727,0.296364,0.136364,0.136364,1.181818,0.148182
1.299831,0.296364,0.272727,0.250909,1.363636,0.272727,0.296364,0.296364,0.136364,0.148182,1.443636,0.159091
1.332981,0.296364,0.250909,0.272727,1.262727,0.296364,0.296364,0.272727,0.136364,0.136364,1.750000,0.159091
1.415439,0.296364,0.227273,0.272727,1.262727,0.272727,0.272727,0.272727,0.136364,0.136364,1.466364,0.159091
1.466277,0.318182,0.272727,0.272727,1.227273,0.250909,0.272727,0.296364,0.136364,0.136364,3.170909,0.148182
1.549495,0.318182,0.250909,0.272727,1.058182,0.296364,0.272727,0.272727,0.136364,0.136364,3.681818,0.159091
1.582923,0.296364,0.227273,0.272727,0.990000,0.272727,0.272727,0.296364,0.125455,0.148182,4.772727,0.170909
1.732935,0.272727,0.227273,0.272727,1.058182,0.250909,0.296364,0.296364,0.136364,0.136364,18.250000,0.159091
1.765877,0.318182,0.227273,0.272727,2.694546,0.250909,0.296364,1.545455,0.136364,4.500000,54.784550,4.261818
1.849502,0.387273,0.250909,0.272727,0.444545,0.250909,0.272727,9.023637,0.148182,14.454545,61.727276,14.977273
1.899762,2.205454,8.705455,0.272727,0.409091,5.250909,1.772727,29.681818,0.136364,21.534546,52.568180,13.795455
1.956897,4.841818,17.909090,0.272727,0.409091,14.409092,3.160000,48.069092,0.125455,28.159090,43.125454,5.057273
2.066993,8.569091,33.363640,0.296364,0.444545,25.523636,3.909091,65.296364,32.272728,8.727273,13.545455,0.148182
2.316864,6.796363,26.160000,0.272727,0.409091,24.818182,5.250909,55.296364,44.068184,14.068183,21.807274,0.170909
2.317403,8.387273,36.090912,0.772727,0.444545,47.454548,12.818182,49.250916,21.840910,1.977273,6.920909,0.148182
2.433713,12.978181,47.476364,2.909091,20.012728,75.614548,30.387272,20.160002,0.136364,0.148182,2.159091,0.159091
2.567381,20.114544,22.432726,8.750909,30.512728,80.681824,35.136364,2.205454,0.148182,0.136364,2.113636,0.148182
2.567688,10.681818,1.114545,10.660001,0.477273,7.363636,1.750909,2.523637,0.136364,0.148182,0.636364,0.148182
2.601114,0.296364,0.250909,0.272727,2.558182,0.272727,0.296364,0.296364,0.148182,0.136364,3.034546,0.148182
2.750623,0.296364,0.250909,0.250909,1.603637,0.272727,0.272727,0.296364,0.136364,0.148182,3.431818,0.159091
2.784141,0.296364,0.272727,0.272727,3.308182,0.272727,0.296364,0.272727,0.136364,0.136364,3.966364,0.148182
2.784756,0.296364,0.250909,0.272727,3.340909,0.272727,0.272727,0.296364,0.136364,0.136364,3.863636,0.148182
2.934481,0.272727,0.272727,0.296364,2.149091,0.250909,0.296364,0.296364,0.136364,0.136364,3.898182,0.159091
2.967177,0.296364,0.250909,0.296364,1.808182,0.272727,0.272727,0.272727,0.136364,0.148182,2.943636,0.148182
3.050678,0.296364,0.250909,0.272727,2.353637,0.272727,0.296364,0.296364,0.136364,0.136364,2.875454,0.148182
3.101675,0.296364,0.272727,0.272727,2.454545,0.272727,0.272727,0.272727,0.136364,0.148182,2.830000,0.159091
3.133765,0.296364,0.250909,0.272727,2.659091,0.272727,0.272727,0.296364,0.136364,0.136364,3.080000,0.159091
3.217247,0.296364,0.227273,0.272727,0.717273,0.272727,0.296364,0.272727,0.148182,0.136364,3.261818,0.148182
3.268292,0.296364,0.250909,0.250909,1.671818,0.250909,0.296364,0.250909,0.148182,0.136364,2.784546,0.148182
3.325865,0.318182,0.250909,0.272727,1.603637,0.272727,0.296364,0.272727,0.136364,0.136364,7.693636,0.148182
3.384547,0.318182,0.227273,0.250909,0.750000,0.250909,0.272727,0.272727,0.136364,0.136364,8.739091,0.148182
3.467611,0.296364,0.250909,0.250909,0.580909,0.250909,0.272727,0.272727,0.136364,0.148182,34.420910,2.625455
3.518441,0.296364,0.272727,0.272727,0.785455,0.296364,0.296364,0.272727,0.136364,0.148182,65.386368,50.579998
3.575284,0.296364,0.272727,0.272727,0.717273,0.272727,0.272727,1.432727,0.136364,3.977273,67.704552,55.284542
3.684811,0.387273,0.227273,0.250909,1.467273,2.614546,0.772727,7.569091,12.227272,9.545454,58.102726,39.159092
3.768970,0.909091,2.318182,0.296364,4.330909,7.796363,1.796364,11.863637,14.398182,9.420909,42.181820,15.125455
3.801842,1.932727,14.181819,1.023636,6.204545,29.523636,6.727273,22.863636,23.568182,0.148182,15.590909,0.909091
3.802734,2.136364,18.387274,1.590909,8.727273,44.000000,9.114545,22.387274,16.704546,0.136364,9.966365,0.352727
3.951893,3.569091,18.660000,2.296364,9.409091,51.885456,10.818183,17.045456,4.431818,0.136364,7.170909,0.159091
3.985263,4.727273,19.000000,3.750909,10.977272,55.909092,15.705455,15.045455,2.590909,0.136364,5.431818,0.148182
4.068352,4.023636,25.863636,4.750909,12.103636,60.727272,16.636364,12.796365,0.693636,0.136364,5.034545,0.148182
