Master Time (s),quat_w,quat_x,quat_y,quat_z
0.069481,0.706000,0.102000,-0.701000,-0.010000
0.114829,0.709000,0.102000,-0.698000,-0.010000
0.181414,0.711000,0.103000,-0.695000,-0.010000
0.214593,0.714000,0.103000,-0.692000,-0.009000
0.281077,0.716000,0.103000,-0.691000,-0.009000
0.338197,0.718000,0.103000,-0.689000,-0.008000
0.415204,0.720000,0.102000,-0.686000,-0.007000
0.481653,0.723000,0.102000,-0.683000,-0.007000
0.515006,0.726000,0.102000,-0.680000,-0.007000
0.582728,0.728000,0.101000,-0.678000,-0.008000
0.639791,0.732000,0.104000,-0.673000,-0.013000
0.715436,0.735000,0.141000,-0.663000,-0.005000
0.782057,0.740000,0.188000,-0.645000,0.022000
0.815577,0.740000,0.209000,-0.638000,0.050000
0.865892,0.738000,0.223000,-0.632000,0.080000
0.925014,0.735000,0.233000,-0.627000,0.112000
0.999453,0.730000,0.241000,-0.624000,0.144000
1.049355,0.721000,0.248000,-0.621000,0.181000
1.107034,0.714000,0.252000,-0.620000,0.207000
1.166290,0.698000,0.258000,-0.628000,0.229000
1.249691,0.674000,0.260000,-0.640000,0.263000
1.299959,0.656000,0.259000,-0.648000,0.288000
1.333262,0.630000,0.265000,-0.655000,0.321000
1.415809,0.614000,0.278000,-0.654000,0.344000
1.466403,0.600000,0.317000,-0.618000,0.397000
1.549604,0.578000,0.360000,-0.586000,0.439000
1.582977,0.564000,0.412000,-0.547000,0.461000
1.733261,0.566000,0.451000,-0.518000,0.456000
1.766366,0.578000,0.475000,-0.506000,0.429000
1.849687,0.586000,0.492000,-0.497000,0.409000
1.932635,0.587000,0.512000,-0.496000,0.384000
2.066454,0.587000,0.530000,-0.498000,0.356000
2.100126,0.587000,0.539000,-0.500000,0.339000
2.317004,0.587000,0.541000,-0.499000,0.338000
2.432930,0.606000,0.573000,-0.471000,0.288000
2.433806,0.630000,0.614000,-0.403000,0.252000
2.567226,0.643000,0.618000,-0.382000,0.240000
2.600263,0.663000,0.633000,-0.343000,0.205000
2.601214,0.684000,0.661000,-0.275000,0.139000
2.750763,0.703000,0.658000,-0.246000,0.112000
2.784198,0.704000,0.573000,-0.414000,-0.066000
2.784805,0.702000,0.565000,-0.431000,-0.037000
2.934181,0.703000,0.536000,-0.466000,0.021000
2.967407,0.697000,0.486000,-0.516000,0.104000
