Master Time (s),tof_brightness_kcps,tof_distance_mm
0.069282,102,217
0.114525,101,218
0.181094,99,218
0.214319,99,219
0.281027,99,219
0.338154,96,222
0.415156,98,221
0.481610,97,219
0.514959,94,221
0.582673,95,221
0.639977,92,223
0.715382,89,223
0.781998,82,228
0.815523,80,230
0.865839,78,234
0.924967,78,236
0.999110,79,241
1.049304,77,241
1.107081,77,245
1.165688,79,243
1.249591,80,241
1.299906,83,236
1.333188,86,228
1.415691,87,224
1.466345,91,224
1.549740,84,229
1.582785,85,229
1.733028,87,226
1.766407,91,222
1.849172,89,222
1.932480,94,222
2.016004,93,215
2.100052,98,213
2.316951,99,214
2.349966,98,211
2.433605,90,198
2.567088,82,199
2.600412,61,218
2.601169,35,222
2.750709,22,173
2.784035,27,145
2.784651,30,168
2.934281,38,238
2.967759,58,273
3.051055,91,254
3.101823,85,238
3.133998,96,231
3.217487,53,219
3.268359,32,187
3.351374,41,182
3.384828,41,180
3.467306,41,179
3.518508,44,179
3.575365,47,178
3.744173,48,178
3.769020,49,183
3.801889,52,181
3.802777,57,174
3.952033,61,167
3.985151,67,162
4.118617,67,153
4.177272,64,148
4.235197,58,150
4.285843,50,151
4.369129,46,149
4.536334,20,122
4.594595,20,5153
4.652572,34,216
4.702468,37,186
4.786829,38,165
4.819327,40,174
4.952825,105,218
5.009732,93,230
5.119722,88,230
5.219272,96,222
5.252748,95,223
5.304417,95,222
5.363258,95,218
5.420371,96,218
5.503486,96,216
5.554282,92,211
5.612648,90,210
5.720345,81,200
5.804038,69,187
5.837125,45,170
5.970526,50,160
5.970905,50,102
6.087158,14,90
6.220988,18,126
6.278756,39,312
6.337997,134,225
6.404214,102,223
6.462994,102,224
6.521252,106,221
6.571973,104,224
6.629136,96,224
6.771043,96,226
6.854042,97,224
6.937558,93,221
6.988113,95,216
7.071864,98,215
7.238178,97,209
7.238742,99,206
7.354643,96,203
7.405053,95,199
7.488901,93,199
7.522000,93,193
7.605206,79,225
7.655596,61,251
7.772193,57,254
7.906301,51,263
7.938605,41,308
8.022511,32,372
8.072974,31,343
8.130705,33,334
8.189131,38,324
8.239592,45,325
8.323096,57,306
8.356215,68,276
8.489606,82,256
8.547789,62,244
8.606436,71,237
8.740096,72,235
8.856385,72,240
8.906955,72,238
8.964991,73,239
9.023351,73,237
9.107035,72,237
9.215219,71,237
9.273478,69,237
9.324254,66,238
9.439933,65,234
9.523787,65,232
9.574450,70,226
9.632748,75,220
9.741279,78,211
9.856967,80,203
10.049570,81,200
10.107868,79,213
10.191181,68,222
10.241518,57,244
10.274703,46,265
10.408721,59,280
10.491803,58,286
10.525351,59,283
10.608570,64,280
10.658470,64,271
10.716880,66,265
10.774845,68,256
10.825782,67,247
10.908680,68,246
10.942415,68,245
11.025637,68,247
11.134292,68,243
11.191664,68,244
11.192928,66,246
11.325966,65,245
11.442091,65,246
11.492584,63,248
11.550750,60,247
11.609602,59,251
11.659702,59,251
11.717377,59,250
11.775924,57,249
11.860343,55,247
11.910015,60,246
11.943641,64,241
12.109407,64,238
12.160328,65,235
12.193601,73,231
12.276612,73,232
12.278064,74,235
12.401513,69,236
12.460644,68,236
12.567709,71,234
12.627291,61,248
12.710323,57,255
12.810442,56,262
12.860547,60,266
12.944556,64,265
12.977189,63,262
13.127717,66,260
13.160700,72,254
13.244271,71,253
13.294611,67,252
13.355101,66,252
13.411555,65,249
13.570443,65,247
