Time (s),opt_cum_x,opt_cum_y
0.180952,-15,11
0.214955,-16,11
0.414945,-18,11
0.514747,-29,11
0.583163,-31,8
0.715797,-61,5
0.815922,-74,1
0.999209,-75,-4
1.049693,-76,-4
1.166370,-76,-2
1.300324,-83,-2
1.415991,-112,-1
1.549907,-99,24
1.733431,-85,23
1.850035,-73,-8
2.066887,-50,-18
2.266613,-40,-18
2.433761,-22,-56
2.483822,-56,-83
2.600618,-55,-68
2.751111,-76,-83
2.909709,-94,-87
2.967843,-97,-85
3.102182,-112,-70
3.217873,-105,-65
3.351573,-117,-3
3.468177,-106,21
3.575682,-102,-10
3.801466,-60,-49
3.951991,-37,-59
3.985355,-21,-74
4.177583,-21,-105
4.286252,-27,-89
4.536687,-79,-89
4.594983,-39,-28
4.786603,-57,-24
4.819673,-23,-34
5.009980,-48,27
5.219678,-58,-2
5.336166,-39,-26
5.503327,-18,-32
5.586688,10,-49
5.753371,10,-106
5.836971,20,-124
5.970762,-22,-128
6.220942,-26,-142
6.254161,-4,-34
6.337791,-9,-34
6.462931,-2,-22
6.572367,13,19
6.770693,16,45
6.854722,15,13
6.938344,37,-12
7.104657,70,-20
7.271938,88,-27
7.405514,96,-29
7.522375,45,-72
7.655982,131,-136
7.906384,112,-142
8.022082,104,-155
8.073277,211,-281
8.189607,294,-275
8.323498,384,-271
8.490099,438,-266
8.606293,452,-215
8.739840,457,-217
8.856712,451,-218
8.907355,458,-224
9.106976,464,-231
9.215659,464,-242
9.273751,480,-260
9.440773,510,-274
9.524262,534,-273
9.741102,565,-270
10.049357,569,-272
10.075012,567,-266
10.107954,560,-270
10.241923,511,-298
10.466127,517,-327
10.524392,516,-325
10.608657,518,-328
10.775449,533,-330
10.941479,531,-287
11.075631,528,-253
11.192247,518,-253
11.326057,520,-259
11.492994,517,-272
11.609353,517,-277
11.717711,527,-291
11.909864,547,-311
11.967008,571,-310
12.160691,577,-281
12.276990,577,-276
12.401963,572,-279
12.568132,531,-291
12.710815,539,-292
12.893553,549,-285
13.077410,554,-282
13.161088,564,-276
13.327864,554,-246
13.570138,544,-253
13.669765,558,-287
13.778742,585,-301
13.838855,609,-309
13.945935,639,-316
14.128443,664,-327
14.212211,669,-341
14.329210,692,-328
14.413079,610,-339
14.562814,596,-337
14.679391,608,-185
14.846180,695,-89
14.929730,709,-74
15.037011,729,-43
15.229752,675,8
15.346840,688,-29
15.513324,711,-59
15.696790,737,-71
15.830239,756,-79
15.863882,757,-88
16.056509,820,-86
16.197063,756,-113
16.280994,801,-74
16.414957,820,1
16.531110,811,55
16.697514,824,201
16.781445,797,340
16.947702,784,385
17.114150,795,346
17.305703,848,310
17.565367,920,295
17.615990,934,281
17.732098,954,274
17.866135,952,290
17.982742,849,225
18.149471,856,286
18.300208,772,586
18.532559,707,802
18.599903,688,808
18.799981,686,825
18.883386,683,822
18.934138,698,809
19.133624,728,806
19.217258,731,810
19.350891,734,812
19.550245,734,815
19.634408,732,815
19.784736,725,815
19.901102,704,809
20.067822,665,785
20.151304,578,704
20.259607,495,568
20.368928,435,489
20.484742,428,457
20.619109,424,439
20.735341,430,436
20.902404,433,434
21.091935,435,434
21.235106,415,407
21.402688,414,406
21.453487,413,406
21.569482,413,406
21.736400,413,406
21.820014,413,407
21.943916,413,407
