Time (s),lin_accel_x,lin_accel_y,lin_accel_z
0.069333,0.010000,-0.220000,-0.110000
0.115239,-0.040000,0.140000,0.200000
0.181219,-0.040000,0.180000,0.090000
0.214736,-0.020000,0.130000,0.180000
0.337779,-0.020000,-0.010000,-0.020000
0.414700,-0.020000,0.100000,0.030000
0.481280,-0.020000,0.080000,0.010000
0.481778,-0.010000,-0.050000,0.010000
0.515135,-0.020000,0.210000,0.180000
0.582888,-0.100000,-0.360000,0.000000
0.640020,0.520000,-2.160000,-0.920000
0.715667,0.890000,-2.470000,-1.450000
0.782192,0.220000,0.040000,-1.010000
0.815713,-0.110000,-1.700000,-0.140000
0.866031,0.540000,-1.020000,-0.630000
0.966078,0.530000,-0.630000,-0.980000
0.999412,0.140000,-0.300000,-1.130000
1.049487,0.000000,0.090000,-1.690000
1.107123,-0.360000,0.120000,-1.890000
1.165898,-0.410000,0.280000,-1.690000
1.249732,-0.310000,0.580000,-0.960000
1.300104,-0.340000,1.330000,-0.600000
1.363649,0.000000,2.040000,0.250000
1.415949,-0.190000,1.820000,1.820000
1.466540,-3.530000,6.070000,-1.890000
1.549649,0.040000,1.680000,0.770000
1.583106,-0.140000,5.000000,0.660000
1.733131,-0.090000,2.780000,0.910000
1.766238,-0.610000,1.280000,-0.050000
1.849833,-0.440000,0.760000,0.700000
1.933004,-0.210000,1.470000,-0.690000
2.066648,-0.120000,1.670000,0.090000
2.100260,-0.180000,0.580000,0.110000
2.317141,-0.260000,-0.180000,0.150000
2.433369,-0.490000,-0.100000,-0.080000
2.483598,3.570000,2.300000,-0.780000
2.567514,3.490000,-0.610000,0.280000
2.600368,4.660000,5.150000,0.040000
2.601336,3.130000,-3.980000,1.900000
2.750902,2.620000,-9.790000,0.400000
2.783452,1.850000,-5.100000,0.590000
2.909512,2.350000,-2.470000,-0.890000
2.934370,0.940000,-0.930000,-0.550000
2.967678,1.260000,0.700000,-1.570000
3.050970,0.940000,4.670000,-2.770000
3.101964,-2.170000,7.400000,-0.410000
3.134443,2.750000,6.040000,-0.220000
3.217781,-4.430000,8.650000,1.530000
3.268544,15.430000,6.270000,4.010000
3.351799,-3.660000,9.510000,-2.190000
3.384318,-1.910000,-2.780000,6.120000
3.467952,-0.860000,2.750000,2.070000
3.518716,-0.090000,3.400000,-0.190000
3.575556,-0.690000,1.650000,0.360000
3.768818,-0.440000,2.770000,0.050000
3.801695,-0.150000,0.980000,-0.280000
3.802474,-0.510000,0.800000,-0.020000
3.951784,-0.130000,0.820000,-0.290000
3.985024,-0.210000,0.690000,0.340000
4.118837,-0.640000,-0.680000,0.740000
4.177465,3.050000,1.660000,0.170000
4.235524,9.530000,-1.400000,0.170000
4.286039,7.770000,3.960000,2.790000
4.369479,3.730000,-8.770000,3.420000
4.536518,-2.640000,-2.620000,-5.300000
4.594865,1.520000,1.550000,-1.870000
4.652221,2.100000,2.100000,1.380000
4.761688,0.580000,6.190000,-0.440000
4.786915,1.930000,9.350000,-2.130000
4.819513,-2.250000,9.260000,1.710000
4.953016,2.160000,8.880000,-0.030000
5.009941,-3.410000,-15.310000,7.230000
5.152789,-1.490000,-0.450000,2.510000
5.219469,-0.680000,2.220000,1.360000
5.252962,-0.080000,1.330000,0.280000
5.304605,0.200000,1.640000,-0.480000
5.420165,0.000000,0.500000,0.090000
5.502772,-0.120000,0.590000,-0.170000
5.503659,-0.050000,0.150000,-0.320000
5.554547,-0.520000,0.190000,-0.160000
5.670468,-0.410000,0.520000,0.430000
5.720534,0.390000,0.720000,0.460000
5.836461,5.390000,0.610000,-0.090000
5.920067,6.770000,4.010000,4.490000
5.971083,-1.970000,-1.760000,-5.110000
6.220856,-0.440000,-9.800000,0.650000
6.253903,0.460000,-0.010000,1.330000
6.337543,2.970000,4.910000,-0.400000
6.403839,0.530000,6.660000,-0.420000
6.463305,-0.160000,7.050000,0.620000
6.521424,-1.560000,7.280000,0.780000
6.572154,-1.470000,7.650000,-10.600000
6.629286,-4.530000,-5.900000,2.660000
6.771380,-0.680000,3.440000,1.150000
6.854516,0.060000,1.800000,0.600000
6.938121,0.010000,2.180000,1.160000
7.046115,-0.150000,0.980000,-0.210000
7.104799,0.000000,0.300000,-0.270000
7.238422,-0.080000,0.680000,-0.120000
7.271638,0.010000,1.300000,0.540000
7.355318,-0.600000,0.010000,0.150000
7.405295,-1.400000,2.190000,-0.180000
7.488596,-1.340000,-1.350000,1.940000
7.522177,2.600000,-2.350000,-2.490000
7.605445,6.350000,0.850000,-6.780000
7.655864,-1.510000,-6.970000,5.140000
7.772392,1.540000,0.440000,1.380000
7.906256,1.230000,2.600000,1.370000
7.939090,-2.820000,1.990000,-4.880000
8.022693,-4.760000,-3.960000,-4.230000
8.073068,-3.370000,-4.310000,-3.650000
8.130883,-0.550000,-2.940000,-0.760000
8.188859,1.340000,-0.480000,-0.050000
8.272718,2.650000,-0.060000,-0.770000
8.323290,1.080000,-0.760000,0.580000
8.356405,1.240000,-0.830000,-0.130000
8.489881,0.700000,-0.940000,0.330000
8.606112,-0.820000,1.330000,-1.520000
8.656926,0.590000,-0.490000,-1.490000
8.740279,0.110000,-0.180000,0.090000
8.856631,0.260000,-0.300000,-0.330000
8.907146,0.240000,-0.110000,-0.650000
9.022857,0.110000,-0.420000,-0.510000
9.023691,0.130000,-0.240000,-0.400000
9.107222,0.180000,-0.080000,-0.850000
9.215451,0.260000,-0.370000,-0.150000
9.273795,0.270000,-0.370000,-0.070000
9.324446,0.300000,-0.420000,-0.710000
9.440311,0.190000,-0.680000,-0.800000
9.524059,0.100000,0.660000,-0.180000
9.632429,0.360000,-0.190000,-0.410000
9.690647,0.070000,-1.290000,-0.320000
9.773695,0.140000,0.290000,-0.200000
9.857629,0.090000,0.570000,-0.330000
10.074862,0.970000,0.330000,-1.000000
10.107912,2.190000,-0.480000,1.310000
10.191274,2.970000,0.150000,0.370000
10.241711,-0.490000,1.090000,-1.750000
10.408348,0.040000,0.030000,-1.010000
10.466311,0.610000,-1.160000,-0.130000
10.525173,0.520000,-0.660000,-0.990000
10.608058,0.340000,-0.410000,-1.660000
10.691556,0.140000,-0.080000,-1.750000
10.717205,-0.260000,0.240000,-1.050000
10.775408,2.470000,-0.620000,0.620000
10.825988,-3.400000,3.790000,-1.480000
10.942137,-1.050000,2.150000,-2.090000
11.025010,-0.360000,1.120000,-1.590000
11.025810,-0.340000,-0.260000,-0.710000
11.134511,-0.030000,0.490000,-0.960000
11.192160,0.030000,-0.330000,-0.310000
11.193103,0.110000,0.410000,-0.540000
11.326233,0.360000,-0.240000,-1.150000
11.442762,0.260000,-0.430000,-0.840000
11.492825,0.200000,-0.730000,-0.910000
11.550973,0.200000,0.140000,-0.200000
11.609557,0.100000,0.410000,-0.190000
11.692553,-0.170000,-0.880000,-0.460000
11.717509,0.190000,-0.970000,0.270000
11.859788,1.740000,1.960000,0.710000
11.909822,0.450000,0.840000,0.110000
11.943386,-0.020000,1.120000,-0.050000
12.110072,0.750000,0.050000,-1.340000
12.160436,0.530000,-0.850000,-1.030000
12.218795,-0.030000,-0.440000,-0.910000
12.276814,0.010000,-0.170000,-0.240000
12.278247,0.210000,-1.060000,-0.970000
12.401887,0.310000,2.960000,0.260000
12.460956,-0.090000,-0.690000,-0.330000
12.568093,6.430000,3.160000,1.520000
12.627161,0.810000,-2.820000,2.250000
12.710644,0.270000,-1.430000,0.140000
12.810687,0.390000,-0.910000,-0.430000
12.860761,-0.120000,-0.710000,-1.240000
