Time (s),opt_dx,opt_dy
0.180952,0,1
0.214955,-1,0
0.414945,-2,0
0.514747,-11,0
0.583163,-2,-3
0.715797,-30,-3
0.815922,-13,-4
0.999209,-1,-5
1.049693,-1,0
1.166370,0,2
1.300324,-7,0
1.415991,-29,1
1.549907,13,25
1.733431,14,-1
1.850035,12,-31
2.066887,23,-10
2.266613,10,0
2.433761,18,-38
2.483822,-34,-27
2.600618,1,15
2.751111,-21,-15
2.909709,-18,-4
2.967843,-3,2
3.102182,-15,15
3.217873,7,5
3.351573,-12,62
3.468177,11,24
3.575682,4,-31
3.801466,42,-39
3.951991,23,-10
3.985355,16,-15
4.177583,0,-31
4.286252,-6,16
4.536687,-52,0
4.594983,40,61
4.786603,-18,4
4.819673,34,-10
5.009980,-25,61
5.219678,-10,-29
5.336166,19,-24
5.503327,21,-6
5.586688,28,-17
5.753371,0,-57
5.836971,10,-18
5.970762,-42,-4
6.220942,-4,-14
6.254161,22,108
6.337791,-5,0
6.462931,7,12
6.572367,15,41
6.770693,3,26
6.854722,-1,-32
6.938344,22,-25
7.104657,33,-8
7.271938,18,-7
7.405514,8,-2
7.522375,-51,-43
7.655982,86,-64
7.906384,-19,-6
8.022082,-8,-13
8.073277,107,-126
8.189607,83,6
8.323498,90,4
8.490099,54,5
8.606293,14,51
8.739840,5,-2
8.856712,-6,-1
8.907355,7,-6
9.106976,6,-7
9.215659,0,-11
9.273751,16,-18
9.440773,30,-14
9.524262,24,1
9.741102,31,3
10.049357,4,-2
10.075012,-2,6
10.107954,-7,-4
10.241923,-49,-28
10.466127,6,-29
10.524392,-1,2
10.608657,2,-3
10.775449,15,-2
10.941479,-2,43
11.075631,-3,34
11.192247,-10,0
11.326057,2,-6
11.492994,-3,-13
11.609353,0,-5
11.717711,10,-14
11.909864,20,-20
11.967008,24,1
12.160691,6,29
12.276990,0,5
12.401963,-5,-3
12.568132,-41,-12
12.710815,8,-1
12.893553,10,7
13.077410,5,3
13.161088,10,6
13.327864,-10,30
13.570138,-10,-7
13.669765,14,-34
13.778742,27,-14
13.838855,24,-8
13.945935,30,-7
14.128443,25,-11
14.212211,5,-14
14.329210,23,13
14.413079,-82,-11
14.562814,-14,2
14.679391,12,152
14.846180,87,96
14.929730,14,15
15.037011,20,31
15.229752,-54,51
15.346840,13,-37
15.513324,23,-30
15.696790,26,-12
15.830239,19,-8
15.863882,1,-9
16.056509,63,2
16.197063,-64,-27
16.280994,45,39
16.414957,19,75
16.531110,-9,54
16.697514,13,146
16.781445,-27,139
16.947702,-13,45
17.114150,11,-39
17.305703,53,-36
17.565367,72,-15
17.615990,14,-14
17.732098,20,-7
17.866135,-2,16
17.982742,-103,-65
18.149471,7,61
18.300208,-84,300
18.532559,-65,216
18.599903,-19,6
18.799981,-2,17
18.883386,-3,-3
18.934138,15,-13
19.133624,30,-3
19.217258,3,4
19.350891,3,2
19.550245,0,3
19.634408,-2,0
19.784736,-7,0
19.901102,-21,-6
20.067822,-39,-24
20.151304,-87,-81
20.259607,-83,-136
20.368928,-60,-79
20.484742,-7,-32
20.619109,-4,-18
20.735341,6,-3
20.902404,3,-2
21.091935,2,0
21.235106,-20,-27
21.402688,-1,-1
21.453487,-1,0
21.569482,0,0
21.736400,0,0
21.820014,0,1
21.943916,0,0
