Time (s),imag_part_kohm,real_part_kohm
0.114753,-81.313553,84.773980
0.164418,-81.352468,84.840871
0.247896,-81.172643,84.651641
0.380959,-80.934691,84.361431
0.441182,-80.752453,84.133745
0.561593,-80.486266,83.842145
0.675541,-80.369146,83.676583
0.731400,-80.048413,83.334645
0.848822,-80.013820,83.324979
0.965476,-79.877533,83.191045
1.036048,-79.753859,83.055091
1.145990,-79.559649,82.824655
1.259011,-79.500162,82.740862
1.349005,-79.589331,82.836319
1.465148,-79.458040,82.714736
1.581923,-80.185762,83.509385
1.610325,-82.610005,86.188210
1.727473,-87.844809,92.869220
1.843847,-90.254332,95.853002
1.932589,-90.770936,96.493833
2.049413,-90.997036,96.708412
2.182496,-91.143168,96.872450
2.332756,-91.203879,96.926295
2.360046,-91.314627,97.066356
2.493425,-90.752571,96.410734
2.549537,-85.704342,90.398588
2.683802,-78.110332,81.277294
2.760317,-76.873761,79.806683
2.849933,-80.230124,83.503421
2.966594,-81.911211,85.354519
3.083764,-82.101213,85.630635
3.110864,-81.185071,84.688840
3.227690,-82.871647,86.625078
3.343784,-87.095655,92.130353
3.433747,-92.840140,98.653162
3.567309,-93.088403,98.964549
3.717500,-92.941773,98.806683
3.800890,-92.645928,98.441069
3.878340,-92.974328,98.817134
3.967752,-93.104220,98.984737
4.051070,-91.519333,97.210886
4.168452,-85.638378,90.309654
4.284632,-77.619449,81.151404
4.362251,-78.395520,81.929651
4.468073,-81.477695,85.232638
4.601565,-82.777692,86.614912
4.628822,-82.866496,86.756279
4.762287,-82.402783,86.220897
4.895626,-82.235661,86.124107
4.952009,-85.906498,90.470558
5.086263,-90.558659,96.121497
5.146244,-91.038026,96.752363
5.235908,-90.780386,96.436611
5.352459,-91.908691,97.609593
5.469135,-91.973732,97.655577
5.585805,-92.201459,97.945638
5.670041,-91.569552,97.189424
5.786264,-83.577394,87.868016
5.819567,-81.224633,85.200784
5.962449,-81.030653,85.017734
6.080207,-82.677420,86.793656
6.136626,-83.578813,87.782102
6.253282,-83.337717,87.543254
6.370039,-83.594067,87.787927
6.486927,-84.820464,89.154547
6.546830,-89.221395,94.499863
6.663887,-91.270408,97.045988
6.753713,-92.029121,97.822522
6.870461,-92.106603,97.924109
6.987371,-92.108110,97.909819
7.014231,-91.949244,97.753873
7.130941,-90.815517,96.476057
7.247674,-83.467120,87.604076
7.337626,-79.562782,83.039412
7.454562,-80.827753,84.402733
7.571321,-82.386470,86.215394
7.654987,-82.641105,86.507492
7.772172,-82.719498,86.619028
7.888354,-83.565949,87.553576
7.921733,-84.927989,89.361107
8.038276,-90.689852,96.362831
8.155023,-92.293736,98.155312
8.238747,-92.390360,98.264176
8.358528,-92.306040,98.115301
8.489207,-92.113632,97.937665
8.563028,-91.826087,97.656593
8.655715,-92.134294,97.973179
8.805930,-89.894400,95.455059
8.837364,-83.996236,88.583794
8.953265,-77.068118,80.310409
9.069616,-78.083164,81.337218
9.189527,-81.473953,85.049077
9.289845,-82.435366,86.075420
9.368989,-82.580365,86.259279
9.489834,-82.548498,86.294894
9.590107,-83.211586,87.089841
9.668197,-85.814444,90.370355
9.756732,-90.446801,96.122487
9.873613,-91.220311,96.988251
10.024018,-91.493875,97.296658
10.051930,-91.784836,97.587103
10.174134,-92.042767,97.910375
10.407977,-92.468590,98.366104
10.408376,-92.643556,98.597858
10.440850,-92.345201,98.186237
10.619328,-92.219901,98.076198
10.675459,-88.820459,93.806490
10.736350,-78.823048,82.548313
