Time (s),impedance_phase_deg
0.114753,-43.806417
0.164418,-43.797536
0.247896,-43.798109
0.380959,-43.812376
0.441182,-43.825210
0.561593,-43.830080
0.675541,-43.844977
0.731400,-43.847728
0.848822,-43.838675
0.965476,-43.835925
1.036048,-43.838388
1.145990,-43.848129
1.259011,-43.855692
1.349005,-43.854775
1.465148,-43.849561
1.581923,-43.836841
1.610325,-43.785619
1.727473,-43.407410
1.843847,-43.276890
1.932589,-43.249560
2.049413,-43.257180
2.182496,-43.254602
2.332756,-43.257753
2.360046,-43.251164
2.493425,-43.268410
2.549537,-43.473070
2.683802,-43.861708
2.760317,-43.927598
2.849933,-43.854718
2.966594,-43.820684
3.083764,-43.794557
3.110864,-43.789916
3.227690,-43.731417
3.343784,-43.390908
3.433747,-43.261248
3.567309,-43.247497
3.717500,-43.248070
3.800890,-43.262910
3.878340,-43.255060
3.967752,-43.246523
4.051070,-43.272650
4.168452,-43.479201
4.284632,-43.725630
4.362251,-43.737204
4.468073,-43.709702
4.601565,-43.702311
4.628822,-43.686325
4.762287,-43.702884
4.895626,-43.676929
4.952009,-43.517704
5.086263,-43.293162
5.146244,-43.257065
5.235908,-43.269499
5.352459,-43.277004
5.469135,-43.283765
5.585805,-43.269670
5.670041,-43.294651
5.786264,-43.566405
5.819567,-43.631379
5.962449,-43.624503
6.080207,-43.608632
6.136626,-43.594881
6.253282,-43.590183
6.370039,-43.598204
6.486927,-43.572937
6.546830,-43.354296
6.663887,-43.243314
6.753713,-43.252138
6.870461,-43.246523
6.987371,-43.251164
7.014231,-43.247382
7.130941,-43.268868
7.247674,-43.614706
7.337626,-43.775134
7.454562,-43.760523
7.571321,-43.699045
7.654987,-43.690565
7.772172,-43.680825
7.888354,-43.665069
7.921733,-43.542971
8.038276,-43.262852
8.155023,-43.237126
8.238747,-43.235350
8.358528,-43.252596
8.489207,-43.244747
8.563028,-43.237528
8.655715,-43.240793
8.805930,-43.281588
8.837364,-43.477310
8.953265,-43.819767
9.069616,-43.830653
9.189527,-43.770092
9.289845,-43.762529
9.368989,-43.751757
9.489834,-43.728896
9.590107,-43.695435
9.668197,-43.518735
9.756732,-43.257524
9.873613,-43.244632
10.024018,-43.239476
10.051930,-43.245033
10.174134,-43.230709
10.407977,-43.229907
10.408376,-43.216672
10.440850,-43.244059
10.619328,-43.237298
10.675459,-43.436115
10.736350,-43.677559
10.885042,-43.719672
10.942039,-43.711478
11.058371,-43.701050
11.174678,-43.700248
11.238253,-43.714859
11.355308,-43.468773
11.471086,-43.276489
11.526155,-43.241194
11.675415,-43.230939
11.792446,-43.243544
11.821240,-43.243314
11.936818,-43.239075
12.055396,-43.252883
12.142533,-43.387986
12.259229,-43.806704
12.376009,-43.885428
12.404328,-43.842170
12.576230,-43.799141
12.693939,-43.746429
12.809802,-43.758633
12.843164,-43.719500
12.959966,-43.423166
13.043471,-43.261649
13.160250,-43.239590
13.277637,-43.247211
13.338197,-43.240965
13.454109,-43.268123
13.571466,-43.256722
13.627948,-43.258842
13.777392,-43.269384
13.894190,-43.269499
13.921234,-43.260962
14.037644,-43.262680
14.154887,-43.292875
14.244596,-43.367589
14.361424,-43.476279
14.478215,-43.550592
14.594793,-43.588006
14.621515,-43.599178
14.795477,-43.615164
14.911727,-43.601356
14.945334,-43.617685
15.145465,-43.623243
15.145816,-43.609950
15.329092,-43.604106
15.412707,-43.580672
15.445649,-43.525095
15.562540,-43.408040
15.679651,-43.332868
15.706731,-43.282791
15.823482,-43.287891
15.996907,-43.361057
16.029759,-43.474102
16.146413,-43.544289
16.263221,-43.573682
16.347112,-43.590068
16.480135,-43.594366
16.647574,-43.603705
16.697025,-43.599809
16.797245,-43.604622
16.876130,-43.589782
16.947725,-43.587490
17.097573,-43.574083
17.175670,-43.510828
17.231498,-43.420358
17.347687,-43.371714
17.497764,-43.293219
17.525165,-43.261592
17.642054,-43.280614
17.758180,-43.296027
17.848422,-43.379105
18.009453,-43.451241
18.082271,-43.521772
18.159056,-43.568411
18.265093,-43.577750
18.398766,-43.581073
18.426152,-43.580443
18.542613,-43.590699
18.675902,-43.583766
18.732392,-43.561707
18.866139,-43.564171
18.999330,-43.562223
19.049285,-43.525324
19.199467,-43.460351
19.282801,-43.365927
19.343023,-43.284224
19.460319,-43.268410
19.577271,-43.311840
19.633295,-43.409644
19.766735,-43.497020
19.900183,-43.526356
19.933537,-43.565489
20.050268,-43.582849
20.167234,-43.588579
20.250506,-43.584339
20.367181,-43.592475
20.545221,-43.587146
20.545381,-43.571562
20.660705,-43.564457
20.777699,-43.469346
20.834532,-43.393315
20.951242,-43.355385
21.101501,-43.283479
21.180569,-43.267264
21.301704,-43.327425
21.384878,-43.395148
21.418232,-43.446829
21.568389,-43.526699
21.682486,-43.569843
21.735424,-43.594767
21.868779,-43.600095
22.019568,-43.597345
22.069051,-43.603648
22.169320,-43.596944
22.319856,-43.601413
22.369334,-43.582047
22.452741,-43.576719
22.569559,-43.539935
22.686890,-43.478743
22.746763,-43.401623
22.863615,-43.292646
22.953084,-43.278666
23.069953,-43.321237
23.186778,-43.408727
23.213912,-43.443506
23.330689,-43.519996
23.447500,-43.575745
23.537350,-43.599293
23.654201,-43.603476
23.771087,-43.616940
23.854270,-43.625248
23.970921,-43.617341
24.087710,-43.606111
24.120890,-43.570301
24.265507,-43.355843
24.382144,-43.273452
24.438055,-43.259300
24.571362,-43.252253
24.705076,-43.251794
24.755034,-43.259185
24.888329,-43.265946
24.988638,-43.283250
25.067547,-43.332123
25.189120,-43.391481
25.334130,-43.436287
25.334299,-43.464476
25.450097,-43.532887
25.567705,-43.563884
25.655995,-43.559874
25.772670,-43.561822
25.889550,-43.553686
25.917508,-43.514667
26.033952,-43.361286
26.151289,-43.291615
26.239691,-43.255404
26.389936,-43.244804
26.551845,-43.244231
26.551992,-43.247325
26.640189,-43.257180
26.840420,-43.288750
26.840728,-43.392513
26.957838,-43.445053
27.074075,-43.577234
27.135916,-43.569041
27.252165,-43.567551
27.369095,-43.559702
27.457697,-43.520912
27.574475,-43.441501
27.691265,-43.343124
27.718489,-43.271275
27.834917,-43.244575
27.969624,-43.239361
28.041663,-43.241366
28.192391,-43.244231
28.270225,-43.258326
28.341950,-43.262967
28.475968,-43.327310
28.592085,-43.413254
28.625660,-43.519938
28.742324,-43.539935
28.859178,-43.559816
28.942536,-43.550248
29.060146,-43.541711
29.176124,-43.538961
29.236484,-43.461497
29.353403,-43.385408
