Time (s),impedance_change_speed_ohm_per_s
0.114753,231.867578
0.164418,1638.895147
0.247896,1079.046921
0.380959,-609.751049
0.441182,-2737.989758
0.561593,-3328.950946
0.675541,-2979.172248
0.731400,-3454.650361
0.848822,-2651.346342
0.965476,-1960.443902
1.036048,-1974.998104
1.145990,-2286.100270
1.259011,-2050.988312
1.349005,-1316.977096
1.465148,-328.568449
1.581923,2745.231941
1.610325,9427.094934
1.727473,31950.480423
1.843847,50065.561398
1.932589,47691.059589
2.049413,14952.288285
2.182496,3717.517465
2.332756,1049.105042
2.360046,1306.946454
2.493425,-1793.280673
2.549537,-17753.858284
2.683802,-56432.712842
2.760317,-81518.962620
2.849933,-51359.040037
2.966594,23782.317233
3.083764,19224.056164
3.110864,17819.199870
3.227690,8743.402746
3.343784,21853.987081
3.433747,47610.081074
3.567309,49787.530039
3.717500,19452.469935
3.800890,-732.673678
3.878340,-1154.785963
3.967752,1471.374211
4.051070,-4312.812256
4.168452,-27424.696661
4.284632,-75834.198741
4.362251,-65831.923550
4.468073,-20473.485956
4.601565,25455.205954
4.628822,23716.703667
4.762287,4613.062398
4.895626,-2978.666318
4.952009,8203.788279
5.086263,41327.851932
5.146244,41090.050150
5.235908,40138.235474
5.352459,6485.136768
5.469135,5563.047374
5.585805,5397.699645
5.670041,-964.438942
5.786264,-38681.642541
5.819567,-49248.587547
5.962449,-53666.818408
6.080207,-1783.284343
6.136626,2978.576159
6.253282,12209.487096
6.370039,3245.005365
6.486927,5058.531784
6.546830,26599.516954
6.663887,43812.462925
6.753713,37627.135819
6.870461,26457.902137
6.987371,3280.679834
7.014231,2349.177693
7.130941,-4068.229180
7.247674,-33727.957084
7.337626,-56954.377049
7.454562,-49610.916353
7.571321,-1993.389154
7.654987,15437.883738
7.772172,8861.136251
7.888354,5184.803979
7.921733,9338.949459
8.038276,30252.456215
8.155023,44616.885187
8.238747,41355.964655
8.358528,7042.697224
8.489207,-972.840746
8.563028,-2413.875956
8.655715,-1150.865563
8.805930,-10075.816908
8.837364,-27274.150696
8.953265,-56671.480209
9.069616,-65227.754696
9.189527,-30699.351012
9.289845,25461.701967
9.368989,22226.375764
9.489834,5146.511489
9.590107,3715.882603
9.668197,11757.893311
9.756732,30438.455680
9.873613,41151.445284
10.024018,21802.115090
10.051930,19098.900104
10.174134,4182.637032
10.407977,3420.104210
10.408376,3743.878841
10.440850,2746.147866
10.619328,-2232.957971
10.675459,-15678.437427
10.736350,-43906.188771
10.885042,-87188.866150
10.942039,-66674.722098
11.058371,-28056.911346
11.174678,13095.240490
11.238253,13069.290088
11.355308,36757.352276
11.471086,59672.390275
11.526155,54653.009727
11.675415,20538.546549
11.792446,3887.396117
11.821240,3933.828128
11.936818,2564.582174
12.055396,813.692606
12.142533,-9178.768757
12.259229,-57641.369103
12.376009,-69053.389342
12.404328,-57741.882515
12.576230,11283.164407
12.693939,16663.902500
12.809802,3758.772378
