Master Time (s),mag_x,mag_y,mag_z
0.035983,0.750000,-21.060000,-30.750000
0.043190,1.500000,-20.750000,-30.250000
0.099134,0.750000,-20.750000,-30.750000
0.158422,-0.690000,-22.190000,-30.250000
0.275275,-0.250000,-21.500000,-30.750000
0.278902,0.000000,-21.500000,-31.060000
0.336111,0.750000,-20.750000,-30.750000
0.396200,1.060000,-21.750000,-31.060000
0.399828,0.380000,-21.060000,-29.880000
0.456007,0.750000,-21.500000,-31.060000
0.579961,1.500000,-20.750000,-30.750000
0.580366,0.750000,-21.060000,-31.880000
0.636603,1.060000,-20.380000,-30.250000
0.696560,1.060000,-21.750000,-30.250000
0.756035,1.880000,-21.500000,-31.500000
0.759825,0.380000,-21.060000,-31.060000
0.874816,0.750000,-21.060000,-31.060000
0.878734,0.380000,-20.750000,-29.560000
0.936069,0.000000,-20.380000,-31.060000
0.997393,0.380000,-22.190000,-31.500000
1.059024,0.380000,-21.750000,-31.500000
1.175185,0.000000,-21.500000,-30.750000
1.178650,0.000000,-20.750000,-31.500000
1.236090,1.060000,-21.060000,-31.060000
1.295106,1.060000,-21.750000,-31.060000
1.298413,1.060000,-21.060000,-30.750000
1.356027,0.750000,-20.750000,-29.880000
1.416523,0.750000,-21.500000,-30.750000
1.534608,0.750000,-21.500000,-30.750000
1.538536,0.380000,-21.060000,-31.060000
1.596337,0.750000,-21.060000,-29.560000
1.656092,0.750000,-21.060000,-30.250000
1.659752,0.750000,-21.500000,-30.750000
1.721773,0.750000,-21.750000,-31.060000
1.776874,1.060000,-21.750000,-31.500000
1.836028,0.380000,-21.060000,-30.250000
1.897203,1.500000,-21.500000,-29.560000
1.956081,0.750000,-21.750000,-29.880000
1.959836,1.060000,-21.060000,-31.060000
2.017267,0.000000,-21.060000,-31.060000
2.076247,1.500000,-21.500000,-29.880000
2.138387,1.500000,-22.190000,-30.750000
2.202666,1.500000,-20.750000,-30.750000
2.262782,1.060000,-20.750000,-29.880000
2.376083,0.750000,-21.500000,-30.250000
2.379903,1.880000,-21.750000,-31.500000
2.495196,0.750000,-21.500000,-30.750000
2.498794,1.060000,-21.500000,-30.750000
2.555999,0.750000,-21.060000,-29.880000
2.615979,0.380000,-21.750000,-30.750000
2.619775,0.380000,-20.750000,-30.250000
2.678343,0.750000,-21.500000,-31.060000
2.738761,0.750000,-21.060000,-31.500000
2.796687,0.750000,-20.750000,-30.250000
2.921139,1.060000,-21.060000,-31.060000
2.921677,1.500000,-21.500000,-31.500000
2.976188,0.380000,-20.750000,-30.750000
3.036074,0.750000,-21.750000,-30.750000
3.039868,1.060000,-20.750000,-31.880000
3.095962,0.380000,-21.500000,-32.250000
3.156013,1.060000,-21.060000,-30.250000
3.220548,1.060000,-21.750000,-30.250000
3.283699,0.380000,-21.060000,-30.750000
3.335892,1.060000,-21.060000,-30.750000
3.346595,1.060000,-22.190000,-30.750000
3.396647,1.060000,-21.060000,-31.060000
3.457568,1.060000,-22.560000,-31.500000
3.516086,0.380000,-22.190000,-31.060000
3.637082,1.060000,-21.500000,-30.250000
3.638413,1.500000,-21.500000,-31.500000
3.703133,0.750000,-21.750000,-31.060000
3.703458,1.060000,-21.060000,-29.560000
3.817415,0.750000,-21.750000,-30.250000
3.821199,0.750000,-20.750000,-30.750000
3.876014,1.060000,-21.060000,-30.250000
3.936729,1.500000,-21.750000,-31.560000
4.056558,2.190000,-21.500000,-30.750000
4.117484,0.380000,-21.060000,-30.380000
4.121234,0.880000,-13.250000,-17.250000
4.176102,0.500000,-13.060000,-18.060000
4.237950,0.060000,-12.560000,-18.060000
4.239693,0.500000,-12.560000,-18.060000
4.295848,0.750000,-12.560000,-18.000000
4.414952,1.190000,-11.560000,-18.380000
4.479924,2.250000,-9.750000,-20.060000
