Time (s),gravity_x,gravity_y,gravity_z
0.038778,-0.200000,-0.450000,9.790000
0.043254,-0.200000,-0.450000,9.790000
0.155089,-0.200000,-0.450000,9.790000
0.159058,-0.200000,-0.450000,9.790000
0.276027,-0.200000,-0.450000,9.790000
0.280058,-0.200000,-0.450000,9.790000
0.337314,-0.200000,-0.450000,9.790000
0.397484,-0.200000,-0.450000,9.790000
0.401089,-0.200000,-0.450000,9.790000
0.457440,-0.200000,-0.450000,9.790000
0.580236,-0.200000,-0.450000,9.790000
0.580764,-0.200000,-0.450000,9.790000
0.694092,-0.200000,-0.450000,9.790000
0.697787,-0.200000,-0.450000,9.790000
0.757301,-0.200000,-0.450000,9.790000
0.761086,-0.200000,-0.450000,9.790000
0.876200,-0.200000,-0.450000,9.790000
0.880014,-0.200000,-0.450000,9.790000
0.937106,-0.200000,-0.450000,9.790000
0.997566,-0.200000,-0.450000,9.790000
1.059415,-0.200000,-0.450000,9.790000
1.176096,-0.200000,-0.450000,9.790000
1.180780,-0.200000,-0.450000,9.790000
1.237297,-0.200000,-0.450000,9.790000
1.295729,-0.200000,-0.450000,9.790000
1.299328,-0.200000,-0.450000,9.790000
1.357356,-0.200000,-0.450000,9.790000
1.417385,-0.200000,-0.450000,9.790000
1.535852,-0.200000,-0.450000,9.790000
1.539788,-0.200000,-0.450000,9.790000
1.597352,-0.200000,-0.450000,9.790000
1.657362,-0.200000,-0.450000,9.790000
1.661007,-0.200000,-0.450000,9.790000
1.721749,-0.200000,-0.450000,9.790000
1.777360,-0.200000,-0.450000,9.790000
1.894614,-0.210000,-0.450000,9.790000
1.898511,-0.210000,-0.450000,9.790000
1.957329,-0.210000,-0.450000,9.790000
2.015082,-0.210000,-0.450000,9.790000
2.018539,-0.210000,-0.450000,9.790000
2.077080,-0.210000,-0.450000,9.790000
2.138456,-0.210000,-0.450000,9.790000
2.262412,-0.210000,-0.450000,9.790000
2.262683,-0.210000,-0.450000,9.790000
2.377358,-0.210000,-0.450000,9.790000
2.381494,-0.210000,-0.450000,9.790000
2.495960,-0.210000,-0.450000,9.790000
2.499809,-0.210000,-0.450000,9.790000
2.557492,-0.210000,-0.450000,9.790000
2.617240,-0.210000,-0.450000,9.790000
2.621051,-0.210000,-0.450000,9.790000
2.678367,-0.210000,-0.450000,9.790000
2.738686,-0.210000,-0.450000,9.790000
2.797168,-0.210000,-0.450000,9.790000
2.921707,-0.210000,-0.450000,9.790000
2.922053,-0.210000,-0.450000,9.790000
2.977315,-0.210000,-0.450000,9.790000
3.037315,-0.210000,-0.450000,9.790000
3.041151,-0.210000,-0.450000,9.790000
3.097415,-0.210000,-0.450000,9.790000
3.157247,-0.210000,-0.450000,9.790000
3.220524,-0.210000,-0.450000,9.790000
3.283670,-0.210000,-0.450000,9.790000
3.346499,-0.210000,-0.450000,9.790000
3.346550,-0.210000,-0.440000,9.790000
3.406561,-0.210000,-0.440000,9.790000
3.458383,-0.210000,-0.430000,9.790000
3.517307,-0.210000,-0.430000,9.790000
3.637134,-0.210000,-0.430000,9.790000
3.639653,-0.210000,-0.430000,9.790000
3.703244,-0.210000,-0.440000,9.790000
3.814602,-0.210000,-0.450000,9.790000
3.818634,-0.210000,-0.450000,9.790000
3.822486,-0.220000,-0.440000,9.790000
3.934640,-0.230000,-0.440000,9.790000
3.937974,-0.230000,-0.440000,9.790000
