Time (s),estimated_weight
0.025980,2.469250
0.030743,1.753750
0.087205,2.188250
0.091408,3.384000
0.095635,4.116500
0.204167,6.375750
0.208952,13.284249
0.213468,33.047249
0.272830,60.434998
0.273080,69.306000
0.399609,85.246254
0.399684,89.428246
0.445074,83.856506
0.462338,80.674500
0.463380,76.562500
0.567248,71.227997
0.571705,69.786995
0.576353,70.194000
0.624112,77.077995
0.628507,81.735245
0.748154,87.759743
0.816345,90.727997
0.873920,93.569000
0.984622,95.729507
1.048494,99.455994
1.053069,104.178001
1.073565,101.000000
1.224178,100.471481
1.228504,102.094246
1.233538,102.122986
1.238062,90.432243
1.285474,54.694504
1.346863,30.037251
1.404955,13.226000
1.409223,7.934500
1.413784,4.684250
1.533369,2.553500
1.533612,2.318250
1.543013,2.363000
1.543296,2.422500
1.600512,2.315250
1.600595,2.353250
1.718150,2.503500
1.718227,2.846500
1.718332,2.646750
1.719484,2.796250
1.766672,2.556500
1.771273,2.906250
1.889349,2.909750
1.890597,2.544250
1.895034,2.581750
1.900029,2.619250
1.950041,2.459750
1.959278,1.484500
2.011660,1.756750
2.012059,4.094251
2.019000,5.341250
2.028926,14.919251
2.029117,49.409500
2.029772,76.496742
2.034264,79.228249
2.039145,74.003250
2.134988,72.146751
2.135062,66.416504
2.136327,61.337250
2.202576,58.934254
2.245299,58.259254
2.249750,63.552250
2.308495,70.415504
2.313040,77.913506
2.368479,84.390244
2.428075,85.062256
2.431874,89.206001
2.436831,91.384247
2.488165,95.446495
2.548105,94.536751
2.606221,93.613503
2.618690,93.130753
2.618899,68.162254
2.678380,27.802750
2.678513,15.127002
2.798455,7.503250
2.798662,3.096500
2.798798,2.250250
2.847738,2.287750
2.849202,2.397500
2.920755,1.912750
2.978695,2.084250
2.978816,2.462500
2.979069,2.178750
3.027886,2.263500
3.148096,2.309000
3.206833,2.318250
3.268719,2.490250
3.326659,2.553500
3.329858,2.476250
3.334478,2.350250
3.339418,2.387750
3.344209,2.638000
3.387494,2.782000
3.391983,2.128500
3.504890,2.110000
3.518045,3.322500
3.518179,4.931750
3.518338,9.428749
3.565796,38.478249
3.625158,70.069000
3.686150,70.165245
3.703876,80.859497
3.703949,71.537750
3.704435,68.837250
3.748621,62.018497
3.807584,56.415497
3.812391,56.350742
3.817021,58.909248
3.871401,65.803001
3.930947,71.212502
3.987627,75.109993
4.005349,75.084999
4.005845,78.806999
4.048286,79.527756
4.066387,85.233498
4.165800,91.018990
4.170308,90.481499
4.174811,91.528748
4.228525,87.175499
4.348501,79.931488
4.348750,50.878502
4.353026,22.903002
4.358013,11.891249
4.406810,3.343750
4.473853,1.747250
4.474154,2.175750
4.474954,2.280750
4.530550,2.000000
4.647755,2.058000
4.707347,2.456750
4.779970,2.619000
4.828666,2.328750
4.847017,2.403750
4.944702,2.706750
4.949560,2.453250
4.954135,2.675000
4.958472,2.641000
5.007754,2.785000
5.064348,2.909500
5.074149,2.769000
5.074333,1.744250
5.077608,1.887750
5.082580,3.044000
5.087104,4.090750
5.091690,9.459500
5.126740,40.293755
5.141162,68.659996
5.188645,62.747498
5.307766,58.549751
5.312508,59.622753
5.317260,69.500999
5.321525,70.437500
5.375323,72.956505
5.375398,75.634247
5.489628,67.256004
5.496550,67.637505
5.496756,65.424248
5.551451,68.100243
5.605164,67.739746
5.667810,69.437500
5.672352,70.150002
5.784414,72.606003
5.788948,77.397499
5.793433,81.683998
5.797961,86.599991
5.849473,85.502747
5.849700,84.309509
5.852971,79.278748
5.966098,63.571995
5.976661,39.399998
5.976891,15.984750
5.978793,8.728750
6.034428,5.289000
6.152087,2.872500
6.152582,1.759500
6.154717,1.844250
6.166294,2.350500
6.208452,2.484750
6.266864,2.469000
6.327239,2.428000
6.331696,2.403000
6.385789,2.278250
6.390330,2.222750
6.508290,2.432000
6.565305,2.402750
6.569743,2.587750
6.687804,2.934250
6.698581,2.850000
6.698837,2.452750
6.700791,2.532250
6.752521,2.597250
6.752591,2.397750
6.865049,2.638500
6.884043,2.584500
6.884167,3.931500
6.884354,15.977499
6.927629,30.941751
6.987055,44.953503
6.992195,55.905746
7.009769,68.940750
7.010392,76.543251
7.044835,77.081505
7.049218,79.709747
7.104921,80.207001
7.167789,80.859993
7.186803,84.172249
7.187026,84.492752
7.350429,82.522499
7.350615,79.661499
7.353665,80.143753
7.358259,79.112244
7.409140,81.675255
7.468525,80.121254
7.479204,79.721497
7.479444,74.018005
7.480099,72.540749
7.528203,66.962250
7.537506,70.922256
7.652311,71.938248
7.652384,67.550507
7.655959,58.080994
7.669546,40.799755
7.709251,10.641000
7.770058,5.109750
7.772787,2.596250
7.828673,2.793250
7.833133,2.612250
7.888542,2.434750
7.893608,2.485250
7.948362,2.353000
8.008075,2.431750
8.012992,2.644500
8.068854,2.596250
8.072564,2.378000
