Master Time (s),ankle_xz,ankle_yz
0.069387,-5.090000,-5.420000
0.181005,-5.070000,-5.360000
0.214115,-4.740000,-4.450000
0.214915,-4.810000,-4.620000
0.338113,-4.900000,-4.780000
0.414901,-4.850000,-5.150000
0.481466,-4.870000,-5.290000
0.514484,-5.270000,-6.340000
0.515306,-5.270000,-6.460000
0.583111,-5.860000,-8.300000
0.640142,-7.330000,-11.610000
0.715750,-8.040000,-13.140000
0.782358,-8.190000,-13.620000
0.815881,-8.250000,-13.780000
0.866198,-8.820000,-14.760000
0.999294,-8.730000,-14.500000
1.049105,-8.870000,-14.930000
1.049652,-8.800000,-15.240000
1.132461,-8.780000,-15.270000
1.166248,-8.840000,-15.500000
1.249892,-8.770000,-15.920000
1.300188,-8.700000,-16.270000
1.363823,-11.280000,-16.230000
1.415906,-16.660000,-16.500000
1.522761,-13.820000,-11.960000
1.549867,-10.650000,-10.440000
1.583269,-5.670000,-7.890000
1.733390,-7.140000,-10.940000
1.816524,-7.600000,-12.480000
1.849996,-8.700000,-14.900000
1.933173,-8.970000,-15.170000
2.066846,-9.080000,-15.060000
2.266417,-8.470000,-13.250000
2.317311,-8.260000,-12.790000
2.433562,-7.080000,-12.840000
2.483780,5.360000,-10.340000
2.567596,-1.580000,-12.110000
2.600578,-0.070000,-10.700000
2.601498,-9.540000,-15.560000
2.751072,-8.880000,-14.040000
2.784327,-7.050000,-10.490000
2.909951,-6.900000,-10.130000
2.967506,-6.950000,-10.040000
2.967595,-8.190000,-12.470000
3.051183,-9.550000,-15.230000
3.102140,-9.670000,-15.940000
3.134852,-9.500000,-16.620000
3.217956,-9.210000,-15.470000
3.268707,-12.100000,-16.970000
3.351471,-10.100000,-13.700000
3.384869,-6.310000,-8.450000
3.468133,-7.530000,-8.230000
3.518891,-13.970000,-11.920000
3.575723,-7.800000,-12.960000
3.768860,-9.000000,-15.350000
3.801653,-9.020000,-14.590000
3.802636,-8.650000,-13.510000
3.952081,-8.520000,-13.220000
3.984768,-7.300000,-12.190000
3.985110,-6.610000,-12.300000
4.119012,7.390000,-11.830000
4.177659,14.440000,-11.380000
4.235483,13.220000,-11.470000
4.286210,6.890000,-12.700000
4.369520,-25.810000,-17.880000
4.536601,-24.840000,-18.350000
4.594944,-9.710000,-15.260000
4.651962,-8.860000,-13.580000
4.786505,-9.570000,-15.050000
4.818818,-8.390000,-12.680000
4.819713,-8.870000,-13.510000
4.953145,-7.840000,-12.860000
5.010136,-6.440000,-7.100000
5.153026,-13.870000,-7.230000
5.219638,-15.810000,-14.550000
5.253136,-12.480000,-15.900000
5.335820,-9.900000,-16.200000
5.419424,-9.120000,-15.560000
5.503275,-9.140000,-15.230000
5.554215,-8.720000,-13.960000
5.586605,-8.720000,-13.600000
5.670342,-8.270000,-13.440000
5.753205,2.250000,-9.090000
5.836924,-3.460000,-13.230000
5.920282,-7.510000,-12.690000
5.970716,-9.200000,-17.260000
6.003092,-29.430000,-17.730000
6.220708,-24.270000,-18.330000
6.254117,-8.720000,-13.630000
6.337746,-9.420000,-15.810000
6.404066,-9.770000,-16.450000
6.404254,-9.870000,-16.470000
6.521099,-9.890000,-16.410000
6.571783,-19.690000,-17.120000
6.572326,-7.020000,-10.450000
6.629370,-6.340000,-7.760000
6.771133,-7.470000,-7.470000
6.854682,-8.320000,-13.650000
6.938305,-9.280000,-14.960000
7.046073,-9.440000,-15.320000
7.104594,-9.610000,-15.190000
7.238597,-9.620000,-15.240000
7.271887,-9.590000,-15.250000
7.355494,-8.630000,-13.400000
7.405472,-7.990000,-12.540000
7.521651,-6.530000,-11.030000
7.522336,-9.480000,-17.060000
7.605614,-26.940000,-17.920000
7.655903,-18.380000,-18.440000
7.772433,-24.800000,-18.350000
7.906465,-25.240000,-18.210000
7.939170,-19.990000,-18.910000
8.022857,-9.770000,-16.270000
8.073234,-10.240000,-16.130000
8.131077,-9.760000,-16.590000
8.189752,-22.780000,-18.700000
8.272895,-24.460000,-18.250000
8.323455,-24.820000,-18.260000
8.380825,-24.950000,-18.250000
8.490056,-27.920000,-17.980000
8.606723,-27.670000,-17.950000
8.739930,-25.420000,-18.070000
8.740442,-25.530000,-18.060000
8.856795,-25.400000,-18.100000
8.907315,-24.720000,-18.160000
9.023512,-24.640000,-18.200000
9.023853,-22.300000,-18.550000
9.107383,-18.340000,-18.440000
9.215618,-14.330000,-18.120000
9.273879,-9.550000,-16.480000
9.382564,-9.350000,-15.330000
9.440691,-9.030000,-14.590000
9.524222,-8.410000,-12.610000
9.632601,-9.540000,-15.200000
9.741039,-8.580000,-13.070000
9.774264,-7.880000,-11.460000
10.049414,-7.900000,-11.500000
10.074968,-7.820000,-12.130000
10.108088,-6.670000,-9.830000
10.191495,-8.520000,-12.990000
10.241883,-9.930000,-17.060000
10.408575,-10.140000,-17.220000
10.466220,-9.910000,-16.570000
10.524952,-9.930000,-16.620000
10.608418,-9.940000,-16.620000
10.608612,-9.960000,-16.540000
10.692087,-10.020000,-16.560000
10.774640,-9.860000,-16.310000
10.775279,-18.180000,-17.000000
10.826161,-22.190000,-18.040000
10.942266,-24.820000,-18.090000
11.025437,-27.990000,-17.890000
11.075566,-28.950000,-17.730000
11.134683,-29.650000,-17.660000
11.192204,-29.930000,-17.660000
11.193163,-29.150000,-17.820000
11.326105,-28.820000,-17.880000
11.442931,-28.050000,-17.910000
11.493036,-27.000000,-17.970000
11.551097,-26.540000,-17.970000
11.609827,-26.250000,-18.030000
11.692685,-25.130000,-18.370000
11.717671,-23.490000,-16.860000
11.860097,-23.240000,-16.750000
11.909587,-17.850000,-17.580000
11.943472,-21.630000,-18.700000
11.943704,-23.010000,-18.640000
12.109854,-23.160000,-18.530000
12.160650,-20.140000,-18.860000
12.218986,-18.750000,-18.720000
12.277073,-18.670000,-19.000000
12.278406,-13.450000,-17.920000
12.401808,-10.020000,-17.380000
12.461261,-10.410000,-18.370000
12.568011,-9.540000,-16.140000
12.627096,-8.960000,-14.350000
12.710772,-8.990000,-14.320000
12.810888,-8.950000,-14.280000
12.860927,-8.820000,-13.970000
12.944915,-9.310000,-15.540000
13.077363,-9.630000,-16.020000
13.128079,-9.670000,-16.680000
13.161129,-25.130000,-18.220000
13.294566,-31.770000,-17.510000
13.327458,-34.070000,-17.300000
13.411474,-34.160000,-17.300000
13.511262,-33.590000,-17.520000
13.571134,-33.070000,-17.430000
13.669726,-29.650000,-17.660000
13.778784,-24.710000,-18.390000
13.838815,-11.180000,-17.640000
13.894908,-9.750000,-16.640000
13.945895,-9.640000,-16.070000
13.978887,-8.800000,-13.570000
14.078895,-8.400000,-12.790000
14.129002,-8.240000,-12.400000
14.212262,-8.250000,-12.310000
14.245421,-7.650000,-11.080000
14.329171,-6.010000,-10.630000
14.379141,-8.530000,-13.290000
14.413038,-16.740000,-18.150000
14.562221,-24.620000,-18.230000
14.562770,-22.920000,-16.930000
14.596555,-17.280000,-16.700000
14.679308,-17.670000,-16.570000
14.729539,-13.470000,-16.360000
14.846220,-14.350000,-16.200000
14.929691,-19.020000,-18.240000
14.979849,-13.990000,-18.570000
15.036970,-16.930000,-16.770000
15.147104,-24.740000,-17.780000
15.229672,-25.620000,-17.620000
15.263158,-24.760000,-18.180000
15.346800,-18.890000,-18.610000
15.455813,-11.480000,-17.890000
15.513282,-9.630000,-16.530000
15.514202,-9.610000,-16.210000
15.696747,-9.590000,-15.710000
15.747206,-8.900000,-14.040000
15.805527,-8.790000,-13.500000
15.863508,-8.700000,-13.370000
15.863842,-8.660000,-13.300000
15.947200,-8.620000,-13.230000
15.997574,-8.040000,-13.230000
16.056469,10.630000,-10.460000
16.113947,-7.990000,-12.820000
16.196920,-24.550000,-18.330000
16.247821,-24.330000,-18.380000
16.280956,-12.510000,-17.700000
16.364667,-9.370000,-15.690000
16.414917,-9.490000,-15.620000
16.473524,-9.320000,-15.690000
16.531026,-9.480000,-16.070000
16.614198,-9.550000,-16.670000
16.697774,-9.760000,-17.190000
16.780647,-11.570000,-17.200000
16.781524,-26.450000,-18.150000
16.805982,-25.740000,-15.820000
16.947550,-27.840000,-16.660000
16.948463,-27.590000,-18.140000
17.114275,-25.290000,-18.230000
17.198316,-12.410000,-17.940000
17.305746,-9.840000,-16.850000
17.465206,-9.880000,-16.200000
17.565275,-8.160000,-13.310000
17.615946,-6.170000,-10.340000
17.675680,-2.600000,-10.130000
17.732321,6.480000,-10.340000
17.815514,16.480000,-14.190000
17.866096,12.290000,-10.430000
17.981866,-14.800000,-17.710000
17.982701,-28.620000,-17.760000
18.090507,-28.380000,-17.340000
18.149431,-22.640000,-15.540000
18.249328,-21.890000,-15.010000
18.300333,-21.740000,-14.920000
18.333403,-22.590000,-15.060000
18.432227,-22.070000,-15.140000
18.533168,-24.700000,-16.860000
18.599865,-29.670000,-17.820000
18.633351,-29.840000,-17.800000
18.799940,-32.520000,-17.500000
18.883344,-30.210000,-17.710000
18.933888,-26.940000,-18.040000
18.934092,-25.600000,-18.170000
18.991524,-23.800000,-17.690000
19.050236,-18.310000,-17.490000
19.133067,-15.640000,-17.550000
19.184339,-15.740000,-17.510000
19.217216,-16.920000,-17.500000
19.300786,-18.980000,-17.410000
19.350851,-19.050000,-17.400000
19.433858,-18.880000,-17.330000
19.550659,-14.290000,-17.840000
19.633835,-15.260000,-17.600000
19.634094,-16.020000,-17.580000
19.635467,-17.880000,-17.490000
19.784692,-20.170000,-18.200000
19.818011,-21.640000,-18.520000
