Time (s),ankle_xz
0.069387,-5.090000
0.181005,-5.070000
0.214115,-4.740000
0.214915,-4.810000
0.338113,-4.900000
0.414901,-4.850000
0.481466,-4.870000
0.514484,-5.270000
0.515306,-5.270000
0.583111,-5.860000
0.640142,-7.330000
0.715750,-8.040000
0.782358,-8.190000
0.815881,-8.250000
0.866198,-8.820000
0.999294,-8.730000
1.049105,-8.870000
1.049652,-8.800000
1.132461,-8.780000
1.166248,-8.840000
1.249892,-8.770000
1.300188,-8.700000
1.363823,-11.280000
1.415906,-16.660000
1.522761,-13.820000
1.549867,-10.650000
1.583269,-5.670000
1.733390,-7.140000
1.816524,-7.600000
1.849996,-8.700000
1.933173,-8.970000
2.066846,-9.080000
2.266417,-8.470000
2.317311,-8.260000
2.433562,-7.080000
2.483780,5.360000
2.567596,-1.580000
2.600578,-0.070000
2.601498,-9.540000
2.751072,-8.880000
2.784327,-7.050000
2.909951,-6.900000
2.967506,-6.950000
2.967595,-8.190000
3.051183,-9.550000
3.102140,-9.670000
3.134852,-9.500000
3.217956,-9.210000
3.268707,-12.100000
3.351471,-10.100000
3.384869,-6.310000
3.468133,-7.530000
3.518891,-13.970000
3.575723,-7.800000
3.768860,-9.000000
3.801653,-9.020000
3.802636,-8.650000
3.952081,-8.520000
3.984768,-7.300000
3.985110,-6.610000
4.119012,7.390000
4.177659,14.440000
4.235483,13.220000
4.286210,6.890000
4.369520,-25.810000
4.536601,-24.840000
4.594944,-9.710000
4.651962,-8.860000
4.786505,-9.570000
4.818818,-8.390000
4.819713,-8.870000
4.953145,-7.840000
5.010136,-6.440000
5.153026,-13.870000
5.219638,-15.810000
5.253136,-12.480000
5.335820,-9.900000
5.419424,-9.120000
5.503275,-9.140000
5.554215,-8.720000
5.586605,-8.720000
5.670342,-8.270000
5.753205,2.250000
5.836924,-3.460000
5.920282,-7.510000
5.970716,-9.200000
6.003092,-29.430000
6.220708,-24.270000
6.254117,-8.720000
6.337746,-9.420000
6.404066,-9.770000
6.404254,-9.870000
6.521099,-9.890000
6.571783,-19.690000
6.572326,-7.020000
6.629370,-6.340000
6.771133,-7.470000
6.854682,-8.320000
6.938305,-9.280000
7.046073,-9.440000
7.104594,-9.610000
7.238597,-9.620000
7.271887,-9.590000
7.355494,-8.630000
7.405472,-7.990000
7.521651,-6.530000
7.522336,-9.480000
7.605614,-26.940000
7.655903,-18.380000
7.772433,-24.800000
7.906465,-25.240000
7.939170,-19.990000
8.022857,-9.770000
8.073234,-10.240000
8.131077,-9.760000
8.189752,-22.780000
8.272895,-24.460000
8.323455,-24.820000
8.380825,-24.950000
8.490056,-27.920000
8.606723,-27.670000
8.739930,-25.420000
8.740442,-25.530000
8.856795,-25.400000
8.907315,-24.720000
9.023512,-24.640000
9.023853,-22.300000
9.107383,-18.340000
9.215618,-14.330000
9.273879,-9.550000
9.382564,-9.350000
9.440691,-9.030000
9.524222,-8.410000
9.632601,-9.540000
9.741039,-8.580000
9.774264,-7.880000
10.049414,-7.900000
10.074968,-7.820000
10.108088,-6.670000
10.191495,-8.520000
10.241883,-9.930000
10.408575,-10.140000
10.466220,-9.910000
10.524952,-9.930000
10.608418,-9.940000
10.608612,-9.960000
10.692087,-10.020000
10.774640,-9.860000
10.775279,-18.180000
10.826161,-22.190000
10.942266,-24.820000
11.025437,-27.990000
11.075566,-28.950000
11.134683,-29.650000
11.192204,-29.930000
11.193163,-29.150000
11.326105,-28.820000
11.442931,-28.050000
11.493036,-27.000000
11.551097,-26.540000
11.609827,-26.250000
11.692685,-25.130000
11.717671,-23.490000
11.860097,-23.240000
11.909587,-17.850000
11.943472,-21.630000
11.943704,-23.010000
12.109854,-23.160000
12.160650,-20.140000
12.218986,-18.750000
12.277073,-18.670000
12.278406,-13.450000
12.401808,-10.020000
12.461261,-10.410000
12.568011,-9.540000
12.627096,-8.960000
12.710772,-8.990000
12.810888,-8.950000
12.860927,-8.820000
12.944915,-9.310000
13.077363,-9.630000
13.128079,-9.670000
13.161129,-25.130000
13.294566,-31.770000
13.327458,-34.070000
13.411474,-34.160000
13.511262,-33.590000
13.571134,-33.070000
13.669726,-29.650000
13.778784,-24.710000
13.838815,-11.180000
13.894908,-9.750000
13.945895,-9.640000
13.978887,-8.800000
14.078895,-8.400000
14.129002,-8.240000
14.212262,-8.250000
14.245421,-7.650000
14.329171,-6.010000
14.379141,-8.530000
14.413038,-16.740000
14.562221,-24.620000
14.562770,-22.920000
14.596555,-17.280000
14.679308,-17.670000
14.729539,-13.470000
14.846220,-14.350000
14.929691,-19.020000
14.979849,-13.990000
15.036970,-16.930000
15.147104,-24.740000
15.229672,-25.620000
15.263158,-24.760000
15.346800,-18.890000
15.455813,-11.480000
15.513282,-9.630000
15.514202,-9.610000
15.696747,-9.590000
15.747206,-8.900000
15.805527,-8.790000
15.863508,-8.700000
15.863842,-8.660000
15.947200,-8.620000
15.997574,-8.040000
16.056469,10.630000
16.113947,-7.990000
16.196920,-24.550000
16.247821,-24.330000
16.280956,-12.510000
16.364667,-9.370000
16.414917,-9.490000
16.473524,-9.320000
16.531026,-9.480000
16.614198,-9.550000
16.697774,-9.760000
16.780647,-11.570000
16.781524,-26.450000
16.805982,-25.740000
16.947550,-27.840000
16.948463,-27.590000
17.114275,-25.290000
17.198316,-12.410000
17.305746,-9.840000
17.465206,-9.880000
17.565275,-8.160000
17.615946,-6.170000
17.675680,-2.600000
17.732321,6.480000
17.815514,16.480000
17.866096,12.290000
17.981866,-14.800000
17.982701,-28.620000
18.090507,-28.380000
18.149431,-22.640000
18.249328,-21.890000
18.300333,-21.740000
18.333403,-22.590000
18.432227,-22.070000
18.533168,-24.700000
18.599865,-29.670000
18.633351,-29.840000
18.799940,-32.520000
18.883344,-30.210000
18.933888,-26.940000
18.934092,-25.600000
18.991524,-23.800000
19.050236,-18.310000
19.133067,-15.640000
19.184339,-15.740000
19.217216,-16.920000
19.300786,-18.980000
19.350851,-19.050000
19.433858,-18.880000
19.550659,-14.290000
19.633835,-15.260000
19.634094,-16.020000
19.635467,-17.880000
19.784692,-20.170000
19.818011,-21.640000
19.901142,-16.620000
19.951539,-16.870000
20.067956,-10.290000
20.151599,-9.140000
20.201847,-9.050000
20.259562,-8.260000
20.318361,-8.010000
20.369001,-7.970000
20.426877,-7.710000
20.426927,-7.680000
20.484932,-7.380000
20.485176,-7.260000
20.534955,-7.180000
20.535152,-7.090000
20.618982,-7.200000
20.619064,-7.190000
20.734509,-7.150000
20.735030,-6.940000
20.841787,-6.620000
