Time (s),ankle_yz
0.069387,-5.420000
0.181005,-5.360000
0.214115,-4.450000
0.214915,-4.620000
0.338113,-4.780000
0.414901,-5.150000
0.481466,-5.290000
0.514484,-6.340000
0.515306,-6.460000
0.583111,-8.300000
0.640142,-11.610000
0.715750,-13.140000
0.782358,-13.620000
0.815881,-13.780000
0.866198,-14.760000
0.999294,-14.500000
1.049105,-14.930000
1.049652,-15.240000
1.132461,-15.270000
1.166248,-15.500000
1.249892,-15.920000
1.300188,-16.270000
1.363823,-16.230000
1.415906,-16.500000
1.522761,-11.960000
1.549867,-10.440000
1.583269,-7.890000
1.733390,-10.940000
1.816524,-12.480000
1.849996,-14.900000
1.933173,-15.170000
2.066846,-15.060000
2.266417,-13.250000
2.317311,-12.790000
2.433562,-12.840000
2.483780,-10.340000
2.567596,-12.110000
2.600578,-10.700000
2.601498,-15.560000
2.751072,-14.040000
2.784327,-10.490000
2.909951,-10.130000
2.967506,-10.040000
2.967595,-12.470000
3.051183,-15.230000
3.102140,-15.940000
3.134852,-16.620000
3.217956,-15.470000
3.268707,-16.970000
3.351471,-13.700000
3.384869,-8.450000
3.468133,-8.230000
3.518891,-11.920000
3.575723,-12.960000
3.768860,-15.350000
3.801653,-14.590000
3.802636,-13.510000
3.952081,-13.220000
3.984768,-12.190000
3.985110,-12.300000
4.119012,-11.830000
4.177659,-11.380000
4.235483,-11.470000
4.286210,-12.700000
4.369520,-17.880000
4.536601,-18.350000
4.594944,-15.260000
4.651962,-13.580000
4.786505,-15.050000
4.818818,-12.680000
4.819713,-13.510000
4.953145,-12.860000
5.010136,-7.100000
5.153026,-7.230000
5.219638,-14.550000
5.253136,-15.900000
5.335820,-16.200000
5.419424,-15.560000
5.503275,-15.230000
5.554215,-13.960000
5.586605,-13.600000
5.670342,-13.440000
5.753205,-9.090000
5.836924,-13.230000
5.920282,-12.690000
5.970716,-17.260000
6.003092,-17.730000
6.220708,-18.330000
6.254117,-13.630000
6.337746,-15.810000
6.404066,-16.450000
6.404254,-16.470000
6.521099,-16.410000
6.571783,-17.120000
6.572326,-10.450000
6.629370,-7.760000
6.771133,-7.470000
6.854682,-13.650000
6.938305,-14.960000
7.046073,-15.320000
7.104594,-15.190000
7.238597,-15.240000
7.271887,-15.250000
7.355494,-13.400000
7.405472,-12.540000
7.521651,-11.030000
7.522336,-17.060000
7.605614,-17.920000
7.655903,-18.440000
7.772433,-18.350000
7.906465,-18.210000
7.939170,-18.910000
8.022857,-16.270000
8.073234,-16.130000
8.131077,-16.590000
8.189752,-18.700000
8.272895,-18.250000
8.323455,-18.260000
8.380825,-18.250000
8.490056,-17.980000
8.606723,-17.950000
8.739930,-18.070000
8.740442,-18.060000
8.856795,-18.100000
8.907315,-18.160000
9.023512,-18.200000
9.023853,-18.550000
9.107383,-18.440000
9.215618,-18.120000
9.273879,-16.480000
9.382564,-15.330000
9.440691,-14.590000
9.524222,-12.610000
9.632601,-15.200000
9.741039,-13.070000
9.774264,-11.460000
10.049414,-11.500000
10.074968,-12.130000
10.108088,-9.830000
10.191495,-12.990000
10.241883,-17.060000
10.408575,-17.220000
10.466220,-16.570000
10.524952,-16.620000
10.608418,-16.620000
10.608612,-16.540000
10.692087,-16.560000
10.774640,-16.310000
10.775279,-17.000000
10.826161,-18.040000
10.942266,-18.090000
11.025437,-17.890000
11.075566,-17.730000
11.134683,-17.660000
11.192204,-17.660000
11.193163,-17.820000
11.326105,-17.880000
11.442931,-17.910000
11.493036,-17.970000
11.551097,-17.970000
11.609827,-18.030000
11.692685,-18.370000
11.717671,-16.860000
11.860097,-16.750000
11.909587,-17.580000
11.943472,-18.700000
11.943704,-18.640000
12.109854,-18.530000
12.160650,-18.860000
12.218986,-18.720000
12.277073,-19.000000
12.278406,-17.920000
12.401808,-17.380000
12.461261,-18.370000
12.568011,-16.140000
12.627096,-14.350000
12.710772,-14.320000
12.810888,-14.280000
12.860927,-13.970000
12.944915,-15.540000
13.077363,-16.020000
13.128079,-16.680000
13.161129,-18.220000
13.294566,-17.510000
13.327458,-17.300000
13.411474,-17.300000
13.511262,-17.520000
13.571134,-17.430000
13.669726,-17.660000
13.778784,-18.390000
13.838815,-17.640000
