Time (s),tof_brightness_kcps
0.069282,102
0.114525,101
0.181094,99
0.214319,99
0.281027,99
0.338154,96
0.415156,98
0.481610,97
0.514959,94
0.582673,95
0.639977,92
0.715382,89
0.781998,82
0.815523,80
0.865839,78
0.924967,78
0.999110,79
1.049304,77
1.107081,77
1.165688,79
1.249591,80
1.299906,83
1.333188,86
1.415691,87
1.466345,91
1.549740,84
1.582785,85
1.733028,87
1.766407,91
1.849172,89
1.932480,94
2.016004,93
2.100052,98
2.316951,99
2.349966,98
2.433605,90
2.567088,82
2.600412,61
2.601169,35
2.750709,22
2.784035,27
2.784651,30
2.934281,38
2.967759,58
3.051055,91
3.101823,85
3.133998,96
3.217487,53
3.268359,32
3.351374,41
3.384828,41
3.467306,41
3.518508,44
3.575365,47
3.744173,48
3.769020,49
3.801889,52
3.802777,57
3.952033,61
3.985151,67
4.118617,67
4.177272,64
4.235197,58
4.285843,50
4.369129,46
4.536334,20
4.594595,20
4.652572,34
4.702468,37
4.786829,38
4.819327,40
4.952825,105
5.009732,93
5.119722,88
5.219272,96
5.252748,95
5.304417,95
5.363258,95
5.420371,96
5.503486,96
5.554282,92
5.612648,90
5.720345,81
5.804038,69
5.837125,45
5.970526,50
5.970905,50
6.087158,14
6.220988,18
6.278756,39
6.337997,134
6.404214,102
6.462994,102
6.521252,106
6.571973,104
6.629136,96
6.771043,96
6.854042,97
6.937558,93
6.988113,95
7.071864,98
7.238178,97
7.238742,99
7.354643,96
7.405053,95
7.488901,93
7.522000,93
7.605206,79
7.655596,61
7.772193,57
7.906301,51
7.938605,41
8.022511,32
8.072974,31
8.130705,33
8.189131,38
8.239592,45
8.323096,57
8.356215,68
8.489606,82
8.547789,62
8.606436,71
8.740096,72
8.856385,72
8.906955,72
8.964991,73
9.023351,73
9.107035,72
9.215219,71
9.273478,69
9.324254,66
9.439933,65
9.523787,65
9.574450,70
9.632748,75
9.741279,78
9.856967,80
10.049570,81
10.107868,79
10.191181,68
10.241518,57
10.274703,46
10.408721,59
10.491803,58
10.525351,59
10.608570,64
10.658470,64
10.716880,66
10.774845,68
10.825782,67
10.908680,68
10.942415,68
11.025637,68
11.134292,68
11.191664,68
11.192928,66
11.325966,65
11.442091,65
11.492584,63
11.550750,60
11.609602,59
11.659702,59
11.717377,59
11.775924,57
11.860343,55
11.910015,60
11.943641,64
12.109407,64
12.160328,65
12.193601,73
12.276612,73
12.278064,74
12.401513,69
12.460644,68
12.567709,71
12.627291,61
12.710323,57
12.810442,56
12.860547,60
12.944556,64
12.977189,63
13.127717,66
13.160700,72
13.244271,71
13.294611,67
13.355101,66
13.411555,65
13.570443,65
13.669379,66
13.778380,66
13.812242,69
13.894565,71
13.945536,73
13.978650,74
14.078645,74
14.128651,76
14.187477,73
14.245329,70
14.328826,59
14.378785,46
14.411881,35
14.414294,17
14.562421,14
14.595701,15
14.678920,19
14.729180,28
14.845305,50
14.929267,81
14.979560,21
15.012680,30
15.146745,32
15.204888,32
15.262337,31
15.346407,28
15.430240,28
15.512609,26
15.513885,26
15.637681,27
15.696941,29
15.747353,31
15.830448,34
15.863802,35
15.946829,35
15.997247,35
16.056107,42
16.113493,46
16.164073,27
16.247729,18
16.280171,17
16.364280,19
16.414564,19
16.473216,20
16.531149,22
16.581138,26
16.664805,29
16.698136,29
16.781135,29
16.805634,28
16.890283,29
16.948149,27
17.031441,28
17.114713,27
17.198404,28
17.465253,28
17.491653,29
17.615579,52
17.675369,65
17.732001,79
17.782359,67
17.865797,56
17.898976,40
17.982350,15
18.090104,12
18.148706,12
18.216221,15
18.299767,15
18.332655,19
18.333542,78
18.532948,64
18.599509,72
18.632994,76
18.767565,75
18.800140,74
18.883536,71
18.934040,68
18.991330,68
19.050436,72
19.100331,74
19.183827,74
19.216724,77
19.300344,78
19.350317,80
19.408281,78
19.467162,79
19.550430,79
19.634050,77
19.634676,77
19.784330,76
19.817395,75
19.900657,68
19.951023,68
20.068115,61
20.151347,51
20.201476,29
20.234560,25
20.318402,17
20.369051,17
20.426818,15
20.427116,16
20.484890,20
20.534907,21
20.535200,20
20.619023,19
20.676319,18
20.734668,18
20.785279,17
20.868965,18
20.985444,18
21.035396,19
21.092301,19
21.202838,18
21.401954,18
21.452912,20
21.509970,17
21.569395,19
21.619881,19
21.703369,18
21.819626,20
21.886811,19
21.943719,18
22.019662,19
