Time (s),gravity_x,gravity_y,gravity_z
0.069570,9.680000,1.540000,-0.010000
0.180901,9.680000,1.550000,0.060000
0.181137,9.670000,1.570000,0.130000
0.214874,9.670000,1.570000,0.190000
0.337720,9.670000,1.560000,0.250000
0.414853,9.670000,1.540000,0.330000
0.481425,9.670000,1.530000,0.390000
0.481894,9.670000,1.530000,0.440000
0.515264,9.660000,1.550000,0.540000
0.583069,9.660000,1.540000,0.610000
0.640103,9.620000,1.710000,0.710000
0.715709,9.520000,2.170000,0.820000
0.782314,9.440000,2.460000,0.940000
0.815839,9.450000,2.400000,0.960000
0.866157,9.500000,2.200000,1.000000
0.999252,9.550000,1.930000,1.030000
0.999569,9.610000,1.620000,1.040000
1.049612,9.660000,1.310000,1.040000
1.132543,9.700000,0.950000,1.000000
1.166206,9.760000,0.640000,0.690000
1.249853,9.790000,0.040000,0.410000
1.300230,9.790000,-0.470000,0.160000
1.363782,9.760000,-0.910000,-0.010000
1.416076,9.740000,-1.080000,-0.100000
1.466681,9.730000,-1.090000,0.390000
1.549826,9.750000,-0.800000,0.580000
1.583230,9.780000,-0.310000,0.580000
1.733349,9.780000,0.460000,0.520000
1.816463,9.720000,1.240000,0.350000
1.849955,9.640000,1.750000,0.160000
1.933132,9.540000,2.210000,-0.210000
2.066803,9.420000,2.640000,-0.590000
2.266249,9.330000,2.890000,-0.800000
2.317269,9.320000,2.930000,-0.820000
2.433519,8.770000,4.270000,-0.970000
2.483738,8.010000,5.600000,-0.770000
2.567556,7.730000,6.000000,-0.560000
2.600536,6.850000,7.000000,-0.370000
2.601460,5.290000,8.250000,-0.190000
2.751030,4.810000,8.530000,0.180000
2.784285,5.050000,8.400000,-0.020000
2.909623,5.670000,8.000000,-0.110000
2.934233,6.870000,6.990000,-0.080000
2.967719,8.230000,5.320000,-0.070000
3.051013,9.200000,3.370000,-0.010000
3.102097,9.680000,1.540000,-0.020000
3.134772,9.780000,-0.620000,-0.060000
3.217914,9.660000,-1.650000,-0.050000
3.268667,9.620000,-1.880000,-0.210000
3.351842,9.660000,-1.610000,0.430000
3.384910,9.720000,-1.270000,0.180000
3.468089,9.780000,-0.570000,0.310000
3.518844,9.790000,0.170000,0.340000
3.575763,9.750000,0.990000,0.270000
3.768642,9.630000,1.840000,0.030000
3.801336,9.360000,2.830000,-0.590000
3.802596,9.270000,3.090000,-0.780000
3.951732,9.130000,3.440000,-0.930000
3.985069,8.990000,3.760000,-1.050000
4.118971,8.640000,4.490000,-1.110000
4.177622,7.740000,5.930000,-0.980000
4.235400,7.180000,6.600000,-0.910000
4.286164,6.110000,7.600000,-0.920000
4.369075,4.440000,8.720000,-0.620000
4.536728,4.080000,8.910000,-0.010000
4.594784,7.310000,6.520000,-0.030000
4.652488,8.680000,4.540000,0.020000
4.786435,9.540000,2.250000,-0.140000
4.786998,9.800000,0.130000,-0.110000
4.819631,9.720000,-1.260000,-0.280000
4.952973,9.750000,-1.020000,0.020000
5.010059,9.760000,-0.790000,0.390000
5.152667,9.790000,0.000000,0.470000
5.219597,9.600000,1.940000,0.340000
5.253095,9.430000,2.670000,0.090000
5.336239,9.310000,3.070000,-0.130000
5.420215,9.250000,3.210000,-0.360000
5.503228,9.190000,3.360000,-0.500000
5.503779,9.040000,3.720000,-0.710000
5.586166,8.850000,4.130000,-0.880000
5.670383,8.570000,4.640000,-1.000000
5.753034,7.810000,5.840000,-1.000000
5.836881,6.950000,6.850000,-0.910000
5.920239,5.690000,7.900000,-1.120000
5.971204,3.690000,9.050000,-0.760000
6.220899,3.940000,8.970000,0.050000
6.254070,8.180000,5.390000,0.220000
6.337702,9.250000,3.240000,-0.030000
6.404021,9.720000,1.240000,-0.030000
6.521034,9.770000,-0.650000,-0.310000
6.521543,9.770000,-0.790000,-0.200000
6.572285,9.780000,-0.550000,0.400000
6.629451,9.790000,-0.530000,0.000000
6.771316,9.800000,0.120000,0.240000
6.854641,9.480000,2.460000,0.220000
6.938266,9.130000,3.550000,-0.220000
7.045982,9.010000,3.820000,-0.540000
7.104233,8.960000,3.860000,-0.900000
7.238556,8.970000,3.820000,-0.980000
7.271839,8.860000,4.040000,-1.080000
7.355411,8.840000,4.100000,-1.080000
7.405431,8.730000,4.330000,-1.050000
7.521430,8.680000,4.410000,-1.090000
