Time (s),mag_x,mag_y,mag_z
0.069526,-28.250000,6.560000,-10.250000
0.115177,-28.750000,6.000000,-9.880000
0.181179,-29.060000,6.190000,-10.250000
0.214832,-29.880000,6.190000,-10.190000
0.337922,-29.880000,6.190000,-10.750000
0.414761,-29.880000,6.500000,-10.750000
0.481331,-30.000000,6.060000,-11.000000
0.481816,-29.690000,6.500000,-10.880000
0.515176,-30.750000,6.000000,-11.560000
0.582984,-29.750000,6.000000,-11.060000
0.639887,-30.250000,6.750000,-10.560000
0.715625,-30.190000,5.690000,-11.000000
0.782234,-30.190000,4.250000,-12.690000
0.815798,-30.750000,4.190000,-14.500000
0.866074,-30.250000,6.560000,-13.380000
0.966176,-30.250000,7.880000,-12.380000
0.999493,-30.560000,9.000000,-10.000000
1.049530,-30.750000,9.880000,-9.880000
1.107203,-31.500000,11.060000,-9.000000
1.165949,-31.560000,13.060000,-6.250000
1.249773,-32.190000,14.250000,-7.750000
1.300147,-31.690000,15.060000,-5.250000
1.363696,-33.250000,17.250000,-5.000000
1.416118,-33.690000,17.690000,-4.690000
1.466583,-33.060000,17.190000,-6.250000
1.549554,-33.500000,17.380000,-9.250000
1.583151,-32.880000,15.500000,-10.190000
1.733307,-34.000000,11.500000,-11.560000
1.766323,-34.250000,6.560000,-11.060000
1.849873,-36.000000,5.380000,-11.880000
1.933091,-35.190000,4.380000,-9.380000
2.066710,-36.560000,1.000000,-8.190000
2.100301,-36.750000,-0.500000,-5.250000
2.317183,-37.190000,-0.880000,-6.500000
2.433422,-38.190000,-2.250000,-6.060000
2.483648,-38.000000,-7.750000,-6.560000
2.567174,-35.880000,-13.880000,-7.690000
2.600115,-35.000000,-14.250000,-8.500000
2.601379,-30.560000,-22.750000,-9.190000
2.750943,-27.380000,-26.500000,-10.190000
2.783819,-25.880000,-27.000000,-11.250000
2.909808,-27.880000,-27.190000,-9.250000
2.934531,-27.560000,-25.250000,-9.000000
2.967637,-33.500000,-16.880000,-9.000000
3.050925,-34.000000,-11.750000,-9.380000
3.102007,-35.060000,-3.000000,-9.380000
3.134586,-34.560000,3.690000,-8.690000
