Time (s),orientation_x
0.069227,1.620000
0.115127,1.500000
0.181456,1.560000
0.214643,1.500000
0.337874,1.380000
0.380979,1.250000
0.415114,1.120000
0.481699,1.120000
0.515051,1.120000
0.582777,1.250000
0.639930,2.060000
0.715493,0.810000
0.782105,356.560000
0.815625,352.250000
0.865941,347.620000
0.966128,342.690000
0.999335,337.620000
1.049445,331.810000
1.107164,326.810000
1.166163,322.750000
1.249541,317.380000
1.300008,311.750000
1.363533,306.000000
1.415761,300.380000
1.466452,293.060000
1.549693,284.560000
1.583023,281.500000
1.733082,282.620000
1.766193,287.440000
1.849745,290.750000
1.932842,294.060000
2.066541,297.380000
2.100174,300.000000
2.317053,300.190000
2.433058,310.060000
2.483457,316.440000
2.567474,319.120000
2.600316,327.120000
2.601257,336.940000
2.750812,341.940000
2.784242,10.690000
2.784847,4.810000
2.934089,354.620000
2.967800,340.750000
3.050878,328.440000
3.101771,317.000000
3.134280,304.940000
3.217645,298.120000
3.268455,294.120000
3.351620,292.560000
3.384653,293.380000
3.467848,296.060000
3.518615,301.190000
3.575464,306.120000
3.768776,312.750000
3.801105,321.750000
3.802379,324.750000
3.926191,327.560000
3.984924,331.190000
4.118744,337.190000
4.177381,346.060000
4.235312,353.620000
4.285950,3.620000
4.368984,15.880000
4.536431,17.060000
4.594694,1.120000
4.652530,349.440000
4.702573,334.380000
4.786648,320.880000
4.819430,310.380000
4.952928,308.440000
5.009849,310.250000
5.152891,311.120000
5.219376,321.380000
5.252865,326.190000
5.304516,329.380000
5.419782,331.310000
5.420499,332.440000
5.503574,335.060000
5.554340,338.060000
5.669970,343.000000
5.720442,350.190000
5.836688,356.940000
5.919618,9.250000
5.971001,19.440000
6.137584,22.620000
6.253600,0.560000
6.336983,346.310000
6.403757,335.690000
6.463220,324.190000
6.521337,320.190000
6.572068,318.250000
6.629187,320.250000
6.771459,320.690000
6.854415,333.000000
6.937970,341.380000
7.046200,345.750000
7.072111,349.060000
7.238327,349.380000
7.271066,353.250000
7.355204,355.060000
7.405199,357.500000
7.488993,1.750000
7.522090,15.940000
7.605360,33.940000
7.655742,48.060000
7.772296,60.690000
7.906071,72.560000
7.938883,82.750000
8.022607,93.190000
8.072929,102.190000
8.131120,105.690000
8.189994,107.380000
8.272365,108.620000
8.323196,110.620000
8.356317,112.690000
8.489780,113.750000
8.606391,107.750000
8.656650,110.440000
8.740192,111.000000
8.856525,112.310000
8.907057,114.250000
8.990105,115.380000
9.023601,116.440000
9.107138,118.940000
9.215354,120.560000
9.273921,125.190000
9.324360,128.500000
9.440106,132.440000
9.523971,135.940000
9.632296,136.060000
9.690270,137.060000
9.773884,138.810000
9.857541,141.690000
10.049659,141.190000
10.107366,140.940000
10.191122,143.120000
10.241622,144.940000
10.408396,150.190000
10.408817,160.880000
10.525065,164.000000
10.575393,167.000000
10.658574,171.000000
10.716999,172.560000
10.775321,174.190000
10.825895,170.940000
10.942093,169.120000
10.942498,167.310000
11.025729,166.620000
11.134411,165.250000
11.192029,166.880000
11.193021,168.250000
11.325915,169.000000
11.442664,169.880000
11.492732,171.190000
11.551057,171.560000
11.608953,171.750000
11.692731,172.810000
11.717425,174.380000
11.859228,177.380000
11.909639,181.380000
11.943188,184.560000
12.110031,184.690000
12.160482,179.810000
12.193761,177.190000
12.276769,176.120000
12.278161,176.620000
12.401673,177.500000
12.460795,177.250000
12.567891,178.560000
12.627331,182.060000
12.710600,183.560000
12.810598,183.880000
12.860667,183.250000
12.944608,183.560000
12.977353,183.380000
13.127821,182.620000
13.160912,179.500000
13.244374,176.440000
13.294816,172.810000
13.411343,171.940000
13.510957,174.380000
13.570614,176.940000
13.669475,181.810000
13.778480,186.380000
13.838532,189.380000
13.894818,190.880000
13.945635,192.880000
13.979091,195.250000
14.078778,197.880000
14.128747,200.620000
14.187576,202.690000
14.245378,205.620000
14.328923,210.380000
14.378886,217.060000
14.412040,224.560000
14.416174,227.880000
14.562523,231.440000
