Master Time (s),imag_part_kohm,impedance_change_speed_ohm_per_s,impedance_magnitude_ohm,impedance_phase_deg,real_part_kohm
0.114753,-81.313553,231.867578,117467.108298,-43.806417,84.773980
0.164418,-81.352468,1638.895147,117542.322013,-43.797536,84.840871
0.247896,-81.172643,1079.046921,117281.278432,-43.798109,84.651641
0.380959,-80.934691,-609.751049,116907.122528,-43.812376,84.361431
0.441182,-80.752453,-2737.989758,116616.661264,-43.825210,84.133745
0.561593,-80.486266,-3328.950946,116221.961530,-43.830080,83.842145
0.675541,-80.369146,-2979.172248,116021.421639,-43.844977,83.676583
0.731400,-80.048413,-3454.650361,115552.635104,-43.847728,83.334645
0.848822,-80.013820,-2651.346342,115521.701952,-43.838675,83.324979
0.965476,-79.877533,-1960.443902,115330.699485,-43.835925,83.191045
1.036048,-79.753859,-1974.998104,115146.976542,-43.838388,83.055091
1.145990,-79.559649,-2286.100270,114846.250489,-43.848129,82.824655
1.259011,-79.500162,-2050.988312,114744.611597,-43.855692,82.740862
1.349005,-79.589331,-1316.977096,114875.225450,-43.854775,82.836319
1.465148,-79.458040,-328.568449,114696.589491,-43.849561,82.714736
1.581923,-80.185762,2745.231941,115773.803969,-43.836841,83.509385
1.610325,-82.610005,9427.094934,119385.177196,-43.785619,86.188210
1.727473,-87.844809,31950.480423,127833.495236,-43.407410,92.869220
1.843847,-90.254332,50065.561398,131657.291811,-43.276890,95.853002
1.932589,-90.770936,47691.059589,132478.008361,-43.249560,96.493833
2.049413,-90.997036,14952.288285,132789.221691,-43.257180,96.708412
2.182496,-91.143168,3717.517465,133008.829677,-43.254602,96.872450
2.332756,-91.203879,1049.105042,133089.647029,-43.257753,96.926295
2.360046,-91.314627,1306.946454,133267.545660,-43.251164,97.066356
2.493425,-90.752571,-1793.280673,132404.904410,-43.268410,96.410734
2.549537,-85.704342,-17753.858284,124567.808678,-43.473070,90.398588
2.683802,-78.110332,-56432.712842,112726.317186,-43.861708,81.277294
2.760317,-76.873761,-81518.962620,110809.213969,-43.927598,79.806683
2.849933,-80.230124,-51359.040037,115800.234174,-43.854718,83.503421
2.966594,-81.911211,23782.317233,118299.790793,-43.820684,85.354519
3.083764,-82.101213,19224.056164,118630.580838,-43.794557,85.630635
3.110864,-81.185071,17819.199870,117316.731258,-43.789916,84.688840
3.227690,-82.871647,8743.402746,119881.666675,-43.731417,86.625078
3.343784,-87.095655,21853.987081,126781.919018,-43.390908,92.130353
3.433747,-92.840140,47610.081074,135468.586275,-43.261248,98.653162
3.567309,-93.088403,49787.530039,135865.494563,-43.247497,98.964549
3.717500,-92.941773,19452.469935,135650.041961,-43.248070,98.806683
3.800890,-92.645928,-732.673678,135181.034433,-43.262910,98.441069
3.878340,-92.974328,-1154.785963,135679.960435,-43.255060,98.817134
3.967752,-93.104220,1471.374211,135891.037211,-43.246523,98.984737
4.051070,-91.519333,-4312.812256,133513.088387,-43.272650,97.210886
4.168452,-85.638378,-27424.696661,124457.885812,-43.479201,90.309654
4.284632,-77.619449,-75834.198741,112295.722334,-43.725630,81.151404
4.362251,-78.395520,-65831.923550,113394.555868,-43.737204,81.929651
4.468073,-81.477695,-20473.485956,117911.905227,-43.709702,85.232638
4.601565,-82.777692,25455.205954,119809.387606,-43.702311,86.614912
4.628822,-82.866496,23716.703667,119972.947195,-43.686325,86.756279
4.762287,-82.402783,4613.062398,119265.509346,-43.702884,86.220897
4.895626,-82.235661,-2978.666318,119080.080677,-43.676929,86.124107
4.952009,-85.906498,8203.788279,124759.161206,-43.517704,90.470558
5.086263,-90.558659,41327.851932,132061.398482,-43.293162,96.121497
5.146244,-91.038026,41090.050150,132849.320288,-43.257065,96.752363
5.235908,-90.780386,40138.235474,132442.811323,-43.269499,96.436611
5.352459,-91.908691,6485.136768,134070.280302,-43.277004,97.609593
5.469135,-91.973732,5563.047374,134148.347305,-43.283765,97.655577
5.585805,-92.201459,5397.699645,134515.638492,-43.269670,97.945638
5.670041,-91.569552,-964.438942,133531.895175,-43.294651,97.189424
5.786264,-83.577394,-38681.642541,121268.170448,-43.566405,87.868016
5.819567,-81.224633,-49248.587547,117714.122037,-43.631379,85.200784
5.962449,-81.030653,-53666.818408,117447.783184,-43.624503,85.017734
6.080207,-82.677420,-1783.284343,119869.489868,-43.608632,86.793656
6.136626,-83.578813,2978.576159,121206.911830,-43.594881,87.782102
6.253282,-83.337717,12209.487096,120867.681951,-43.590183,87.543254
6.370039,-83.594067,3245.005365,121221.648913,-43.598204,87.787927
6.486927,-84.820464,5058.531784,123057.078092,-43.572937,89.154547
6.546830,-89.221395,26599.516954,129964.154047,-43.354296,94.499863
6.663887,-91.270408,43812.462925,133222.412581,-43.243314,97.045988
