Time (s),impedance_magnitude_ohm
0.114753,117467.108298
0.164418,117542.322013
0.247896,117281.278432
0.380959,116907.122528
0.441182,116616.661264
0.561593,116221.961530
0.675541,116021.421639
0.731400,115552.635104
0.848822,115521.701952
0.965476,115330.699485
1.036048,115146.976542
1.145990,114846.250489
1.259011,114744.611597
1.349005,114875.225450
1.465148,114696.589491
1.581923,115773.803969
1.610325,119385.177196
1.727473,127833.495236
1.843847,131657.291811
1.932589,132478.008361
2.049413,132789.221691
2.182496,133008.829677
2.332756,133089.647029
2.360046,133267.545660
2.493425,132404.904410
2.549537,124567.808678
2.683802,112726.317186
2.760317,110809.213969
2.849933,115800.234174
2.966594,118299.790793
3.083764,118630.580838
3.110864,117316.731258
3.227690,119881.666675
3.343784,126781.919018
3.433747,135468.586275
3.567309,135865.494563
3.717500,135650.041961
3.800890,135181.034433
3.878340,135679.960435
3.967752,135891.037211
4.051070,133513.088387
4.168452,124457.885812
4.284632,112295.722334
4.362251,113394.555868
4.468073,117911.905227
4.601565,119809.387606
4.628822,119972.947195
4.762287,119265.509346
4.895626,119080.080677
4.952009,124759.161206
5.086263,132061.398482
5.146244,132849.320288
5.235908,132442.811323
5.352459,134070.280302
5.469135,134148.347305
5.585805,134515.638492
5.670041,133531.895175
5.786264,121268.170448
5.819567,117714.122037
5.962449,117447.783184
6.080207,119869.489868
6.136626,121206.911830
6.253282,120867.681951
6.370039,121221.648913
6.486927,123057.078092
6.546830,129964.154047
6.663887,133222.412581
6.753713,134307.873755
6.870461,134434.955753
6.987371,134425.580320
7.014231,134203.141761
7.130941,132495.613896
7.247674,121000.968277
7.337626,115003.392335
7.454562,116862.941549
7.571321,119250.260330
7.654987,119637.362003
7.772172,119772.164386
7.888354,121032.625823
7.921733,123280.861164
8.038276,132327.035926
8.155023,134731.580604
8.238747,134877.081108
8.358528,134710.865272
8.489207,134449.646561
8.563028,134047.903347
8.655715,134489.671853
8.805930,131120.827769
8.837364,122075.616251
8.953265,111307.037351
9.069616,112750.714586
9.189527,117776.697545
9.289845,119182.916184
9.368989,119415.994799
9.489834,119419.693981
9.590107,120452.515107
9.668197,124623.111536
9.756732,131985.439629
9.873613,133146.032377
10.024018,133558.110192
10.051930,133969.022045
10.174134,134381.221010
10.407977,135004.927876
10.408376,135293.629420
10.440850,134789.366094
10.619328,134623.366246
10.675459,129184.873739
10.736350,114137.184488
10.885042,111750.581667
10.942039,112953.775772
11.058371,115306.322507
11.174678,115403.201366
11.238253,116763.597395
11.355308,126417.998202
11.471086,131943.880130
11.526155,132962.342983
11.675415,133318.241680
11.792446,133409.899567
11.821240,133732.934176
11.936818,133961.573494
12.055396,133504.149313
12.142533,129338.303386
12.259229,115105.261273
12.376009,113403.673438
12.404328,115732.328246
12.576230,118194.607482
12.693939,119300.449212
12.809802,119069.046843
12.843164,119919.704064
12.959966,126491.002497
13.043471,132273.459899
13.160250,132951.032061
13.277637,133475.182609
13.338197,133455.159791
13.454109,133162.895969
13.571466,133112.930839
13.627948,133215.660600
13.777392,133206.761307
13.894190,133128.866562
13.921234,133055.655043
14.037644,133248.199168
14.154887,133182.217697
14.244596,131926.721887
14.361424,129834.010435
14.478215,125717.157070
14.594793,123071.744674
14.621515,121803.565121
14.795477,121382.974465
14.911727,122015.084080
14.945334,122689.203427
15.145465,123206.788946
15.145816,123728.495276
15.329092,124475.031724
15.412707,125634.669799
15.445649,128289.245293
15.562540,131656.092804
15.679651,132753.249579
15.706731,133142.047061
15.823482,133173.629570
15.996907,132177.313572
