Master Time (s),orientation_x,orientation_y,orientation_z
0.035705,-0.060000,-1.190000,2.620000
0.038814,-0.060000,-1.190000,2.620000
0.094788,-0.060000,-1.190000,2.620000
0.155149,-0.060000,-1.190000,2.620000
0.214696,-0.060000,-1.190000,2.620000
0.276804,-0.060000,-1.190000,2.620000
0.334506,-0.060000,-1.190000,2.620000
0.394725,-0.060000,-1.190000,2.620000
0.397991,-0.060000,-1.190000,2.620000
0.455017,-0.060000,-1.190000,2.620000
0.517336,-0.060000,-1.190000,2.620000
0.579933,-0.060000,-1.190000,2.620000
0.634393,-0.060000,-1.190000,2.620000
0.694638,-0.060000,-1.190000,2.620000
0.755148,-0.060000,-1.190000,2.620000
0.758012,-0.060000,-1.190000,2.620000
0.814981,-0.060000,-1.190000,2.620000
0.876782,-0.060000,-1.190000,2.620000
0.934024,-0.060000,-1.190000,2.620000
0.997303,-0.060000,-1.190000,2.620000
1.058934,-0.060000,-1.190000,2.620000
1.114589,-0.060000,-1.190000,2.620000
1.176702,-0.060000,-1.190000,2.620000
1.235108,-0.060000,-1.190000,2.620000
1.238219,-0.060000,-1.190000,2.620000
1.296140,-0.060000,-1.190000,2.620000
1.354978,-0.060000,-1.190000,2.620000
1.414363,-0.060000,-1.190000,2.620000
1.474205,-0.060000,-1.190000,2.620000
1.536548,-0.060000,-1.190000,2.620000
1.594316,-0.060000,-1.190000,2.620000
1.654193,-0.060000,-1.190000,2.620000
1.657928,-0.060000,-1.190000,2.620000
1.721647,-0.060000,-1.190000,2.620000
1.776782,-0.060000,-1.190000,2.620000
1.834942,-0.060000,-1.190000,2.620000
1.895289,-0.060000,-1.190000,2.620000
1.954978,-0.060000,-1.190000,2.620000
1.957921,-0.060000,-1.190000,2.620000
2.015599,-0.060000,-1.190000,2.620000
2.076154,-0.060000,-1.190000,2.620000
2.138143,-0.060000,-1.190000,2.620000
2.194543,-0.060000,-1.190000,2.620000
2.262755,-0.060000,-1.190000,2.620000
2.375044,-0.060000,-1.190000,2.620000
2.377997,-0.060000,-1.190000,2.620000
2.434985,-0.060000,-1.190000,2.620000
2.497078,-0.060000,-1.190000,2.620000
2.554843,-0.060000,-1.190000,2.620000
2.614284,-0.060000,-1.190000,2.620000
2.617898,-0.060000,-1.190000,2.620000
2.678254,-0.060000,-1.190000,2.620000
2.738570,-0.060000,-1.190000,2.620000
2.796594,-0.060000,-1.190000,2.620000
2.854967,-0.060000,-1.190000,2.620000
2.921410,-0.060000,-1.190000,2.620000
2.975087,-0.060000,-1.190000,2.620000
3.034383,-0.060000,-1.190000,2.620000
3.037987,-0.060000,-1.190000,2.620000
3.094769,-0.060000,-1.190000,2.620000
3.154941,-0.060000,-1.190000,2.620000
3.220434,-0.060000,-1.190000,2.620000
3.274896,-0.060000,-1.190000,2.620000
3.335031,-0.060000,-1.190000,2.620000
3.346527,-0.060000,-1.190000,2.620000
3.394524,-0.060000,-1.190000,2.560000
3.454462,-0.060000,-1.190000,2.560000
3.515058,-0.060000,-1.190000,2.560000
3.574845,-0.060000,-1.190000,2.560000
3.637430,-0.060000,-1.190000,2.560000
3.702871,-0.060000,-1.190000,2.560000
3.703196,-0.060000,-1.190000,2.620000
3.815314,-0.060000,-1.250000,2.620000
3.819038,-0.060000,-1.250000,2.620000
3.874553,-0.060000,-1.310000,2.560000
3.934922,-0.060000,-1.380000,2.560000
3.994398,-0.060000,-1.310000,2.560000
4.115214,-0.060000,-1.250000,2.620000
4.119138,-0.060000,-1.250000,2.750000
4.176011,-0.060000,-1.120000,2.940000
4.237859,-0.060000,-1.060000,3.120000
4.238115,-0.060000,-1.190000,3.190000
4.294968,0.000000,-2.000000,4.190000
4.354561,0.060000,-3.000000,7.120000
4.479713,0.250000,-3.620000,11.380000
4.480200,0.500000,-3.750000,17.440000
4.535363,1.190000,-2.380000,27.690000
4.539261,2.190000,-0.190000,37.000000
4.596997,3.940000,1.250000,46.440000
4.654792,9.810000,1.440000,56.190000
4.716594,7.750000,0.190000,55.810000
4.834553,7.440000,-0.060000,51.500000
4.897094,8.380000,1.310000,43.250000
4.955823,8.750000,1.440000,18.380000
