Time (s),lin_accel_x,lin_accel_y,lin_accel_z
0.035768,0.000000,0.110000,-0.390000
0.043279,0.000000,0.110000,-0.410000
0.099097,0.000000,0.130000,-0.400000
0.156254,-0.010000,0.110000,-0.410000
0.275235,0.010000,0.110000,-0.410000
0.277967,-0.020000,0.140000,-0.380000
0.335483,0.000000,0.110000,-0.400000
0.395442,0.000000,0.130000,-0.410000
0.399318,0.000000,0.120000,-0.410000
0.455517,0.000000,0.130000,-0.390000
0.574737,-0.010000,0.100000,-0.410000
0.580308,0.000000,0.110000,-0.410000
0.636638,0.000000,0.100000,-0.420000
0.695860,-0.010000,0.120000,-0.400000
0.755591,-0.010000,0.110000,-0.390000
0.759351,-0.020000,0.110000,-0.410000
0.874384,-0.010000,0.130000,-0.420000
0.878408,-0.010000,0.100000,-0.420000
0.935188,0.000000,0.080000,-0.430000
0.997369,0.000000,0.080000,-0.410000
1.058999,0.000000,0.080000,-0.430000
1.175132,-0.020000,0.080000,-0.420000
1.177993,0.000000,0.100000,-0.410000
1.235739,0.000000,0.080000,-0.410000
1.239317,-0.010000,0.090000,-0.380000
1.297500,0.000000,0.070000,-0.390000
1.355528,0.000000,0.100000,-0.400000
1.415331,0.000000,0.070000,-0.390000
1.534297,-0.010000,0.100000,-0.400000
1.537908,0.000000,0.080000,-0.400000
1.595686,0.000000,0.090000,-0.370000
1.655400,0.000000,0.090000,-0.400000
1.659422,-0.020000,0.100000,-0.380000
1.721723,0.000000,0.070000,-0.390000
1.776849,0.000000,0.060000,-0.390000
1.835589,0.000000,0.070000,-0.410000
1.896492,-0.010000,0.050000,-0.380000
1.955712,0.000000,0.050000,-0.400000
1.959327,0.010000,0.050000,-0.370000
2.016609,0.000000,0.040000,-0.410000
2.076222,-0.010000,0.050000,-0.400000
2.138210,-0.010000,0.030000,-0.370000
2.202703,-0.010000,0.060000,-0.390000
2.262473,0.000000,0.050000,-0.430000
2.375607,-0.020000,0.060000,-0.410000
2.379299,0.000000,0.070000,-0.430000
2.494816,0.000000,0.080000,-0.400000
2.498026,-0.020000,0.070000,-0.400000
2.555473,0.000000,0.090000,-0.390000
2.615633,0.000000,0.100000,-0.430000
2.619220,0.000000,0.090000,-0.430000
2.678319,0.000000,0.070000,-0.410000
2.738635,0.000000,0.080000,-0.420000
2.796662,-0.010000,0.070000,-0.430000
2.914522,-0.010000,0.080000,-0.420000
2.921732,0.000000,0.090000,-0.400000
2.975671,-0.010000,0.070000,-0.430000
3.035375,0.000000,0.070000,-0.410000
3.039399,-0.010000,0.030000,-0.370000
3.095480,-0.030000,0.060000,-0.400000
